LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00110787 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1300   -951.04357            0   -914.74732   -116958.82    5330.9442 
    3200    1302.3657   -958.96652            0   -922.60422    10646.963     4512.018 
Loop time of 2.34729 on 1 procs for 3200 steps with 217 atoms

Performance: 353.361 ns/day, 0.068 hours/ns, 1363.276 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2933     | 2.2933     | 2.2933     |   0.0 | 97.70
Neigh   | 0.0059555  | 0.0059555  | 0.0059555  |   0.0 |  0.25
Comm    | 0.013811   | 0.013811   | 0.013811   |   0.0 |  0.59
Output  | 2.5485e-05 | 2.5485e-05 | 2.5485e-05 |   0.0 |  0.00
Modify  | 0.029348   | 0.029348   | 0.029348   |   0.0 |  1.25
Other   |            | 0.004883   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4144 ave 4144 max 4144 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8288 ave 8288 max 8288 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8288
Ave neighs/atom = 38.1935
Neighbor list builds = 10
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.666 | 9.666 | 9.666 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -958.96652    36.362299   -922.60422    1302.3657    10646.963    2.2352101            0 9.8279492e-32 
    9300   -955.51325    36.474004   -919.03925    1306.3666    1290.0308    2.2064084   0.20110966  0.094271398 
    9400   -959.89873    37.444247   -922.45449    1341.1171   -5911.1579    2.1954607   0.15480198  0.098857394 
    9500    -956.2876    35.232938   -921.05466    1261.9161   -5907.8927    2.1891768   0.43050651   0.10592126 
    9600   -952.68487     37.47944   -915.20543    1342.3776    1156.3279    2.1998835   0.18289495   0.10419357 
    9700   -960.54777    39.837699   -920.71007    1426.8419    8975.0213     2.232662  0.052068449  0.088947476 
    9800   -958.71163    36.545154   -922.16648    1308.9149    5660.8722    2.2218097  0.061811591  0.085459267 
    9900   -956.72057    35.307696   -921.41287    1264.5936   -5214.2302    2.1936906   0.12429139   0.10788955 
   10000   -953.29249    35.547084   -917.74541    1273.1676   -7880.0438    2.1734998  0.041108499   0.10133998 
   10100   -954.83476    41.772162    -913.0626    1496.1273   -8014.1981    2.1790945  0.089086076   0.10242801 
   10200   -956.95506    35.415125   -921.53994    1268.4413     6428.406    2.2227209    1.2538036   0.10478728 
   10300   -955.53976    35.381037   -920.15872    1267.2205    11252.309    2.2282456   0.16072896  0.095183641 
   10400   -959.11162    36.631376   -922.48025    1312.0031    1401.2851     2.214667   0.17294555   0.10143747 
   10500   -959.44579    30.954392   -928.49139    1108.6741   -2599.4679    2.2048111  0.037481488  0.094677921 
   10600   -957.50424    35.816957   -921.68728    1282.8335   -6530.2644    2.1905348   0.06988992  0.095497691 
   10700    -956.2643    35.419713   -920.84459    1268.6057    606.68497    2.2023418  0.070816267   0.08736975 
   10800   -957.36847    35.087488   -922.28098    1256.7066      5271.39    2.2165208  0.076636376  0.083322369 
   10900   -962.10535    33.352366   -928.75298    1194.5608    5156.6038    2.2262364   0.13549187   0.09254199 
   11000   -958.53608    35.695692   -922.84039    1278.4902   -1381.4896    2.2064451  0.049563216  0.087572941 
   11100   -959.95424     38.61993   -921.33431    1383.2258   -3313.0083    2.2025238   0.13329754  0.083273644 
   11200   -957.52192    35.872442   -921.64948    1284.8208   -985.33023    2.2039928   0.11094801  0.091940665 
   11300   -955.47423    29.871851   -925.60238    1069.9014    2110.4944    2.2113557   0.03793906  0.098412735 
   11400   -962.40703    35.059517   -927.34752    1255.7047    776.78856    2.2178606  0.051544503  0.086021548 
   11500   -955.05864    33.271248   -921.78739    1191.6555    4401.5109    2.2146147   0.21255591  0.088989872 
   11600   -957.93246    36.895728   -921.03673    1321.4712   -768.06529    2.2055447   0.25621642   0.09179806 
   11700    -956.1141     34.92401   -921.19009    1250.8514   -2422.5764    2.1951962   0.24764962  0.090926588 
   11800   -962.93067    34.130463    -928.8002    1222.4294   -2504.3019    2.2140814  0.078825974  0.086098109 
