    9900   -952.71684    43.052105   -909.66474    1541.9703   -1628.8618    2.1877677    6.6609013   0.18858134 
   10000   -952.12783    36.652993   -915.47484    1312.7773   -7701.9948    2.1780558    5.0615737   0.16978455 
   10100   -949.65098     42.24746   -907.40352    1513.1508   -2337.6932    2.1807571     4.846947   0.18721272 
   10200    -951.3922     43.69343   -907.69877    1564.9402     5270.813    2.2030635    5.4111932   0.16463178 
   10300   -951.91478    39.032239   -912.88254    1397.9932    3559.1535    2.2019657    3.3497711   0.15211855 
   10400   -948.83232    42.775227   -906.05709    1532.0535   -3820.9302    2.1768448    4.7814646   0.16782815 
   10500   -949.41968    43.052395   -906.36729    1541.9807   -1705.9916    2.1822554    6.7967385   0.17293157 
   10600   -952.06681    40.902843   -911.16396    1464.9915    2073.4817    2.2000157    4.9437625   0.16478851 
   10700   -949.44556    40.442315   -909.00324    1448.4971    4201.1503    2.2005257    6.1403458   0.17107639 
   10800   -949.24925    45.467292   -903.78196    1628.4735   -3225.8061    2.1763201    5.7559295   0.17220394 
   10900    -954.2594    42.905581   -911.35382    1536.7223   -7847.7487    2.1772886    5.6660946   0.16599393 
   11000   -951.35227     42.54248   -908.80979    1523.7173    2494.0307    2.1944128    4.7252677   0.17312056 
   11100   -950.18098     48.02482   -902.15616    1720.0749    6379.5087    2.1993388    5.2851835   0.16777122 
   11200   -952.45855    41.747597   -910.71095    1495.2475   -867.29837    2.1912161    4.2795841   0.15710096 
   11300   -949.74577    39.642257   -910.10351    1419.8419   -11411.715    2.1612358    4.6807582   0.17004412 
   11400   -947.93416    43.067181   -904.86697    1542.5102   -4061.4839    2.1716589    4.7814003   0.16902444 
   11500   -956.00391    43.070746   -912.93317    1542.6379    13679.726    2.2317557    6.5290036    0.1491191 
   11600   -955.14861    43.869867   -911.27875    1571.2595    1737.8296    2.2027461     6.696597    0.1528541 
   11700   -947.69739    40.131057   -907.56634    1437.3489   -8727.7289    2.1585731    4.7859403   0.17375446 
   11800   -949.44293    40.621302   -908.82163    1454.9077   -4171.3541    2.1729933      6.53405   0.16466909 
   11900   -954.50879    39.999104   -914.50969    1432.6228    8891.9599    2.2187478    6.2429724   0.17490269 
   12000   -952.06473    45.255023   -906.80971    1620.8708    3585.0215    2.1950905    4.9099666   0.16475191 
   12100   -949.38719    40.695503   -908.69169    1457.5653   -440.46197    2.1796828    4.0594617   0.15790429 
   12200   -951.66773    36.876963   -914.79077    1320.7991     -1240.73    2.1890837    5.0406424   0.16120922 
   12300   -949.57343    42.229529    -907.3439    1512.5086     1207.535    2.1884507    4.4759595   0.14370762 
   12400    -951.0984        43.78    -907.3184    1568.0408    3371.4395    2.1970047    6.3861063   0.17282533 
   12500   -952.00635    39.545292   -912.46106     1416.369    28.373625     2.192297      6.67676   0.16267127 
   12600   -949.74478    42.589343   -907.15543    1525.3958   -3208.0671    2.1780931    7.1365503   0.16299171 
   12700   -950.54994    45.214649   -905.33529    1619.4247     936.2435    2.1858423    6.2010365   0.16345384 
   12800   -952.92126     42.25358   -910.66768      1513.37    2100.6822     2.194178    5.1507885   0.15239499 
   12900   -949.84467    40.650199   -909.19447    1455.9427   -811.03178    2.1864097    4.4913897   0.18242382 
   13000   -944.31999     41.14474   -903.17525    1473.6554   -1997.7217    2.1693002    5.7847458   0.19021513 
   13100   -952.87276    41.551741   -911.32102    1488.2327    598.97031    2.1941293    4.8062962   0.15723846 
   13200    -955.5651    46.419127   -909.14597    1662.5648    4150.9739    2.2036524    5.2963685   0.15200901 
   13300    -949.1214    45.974922   -903.14647     1646.655   -883.70226    2.1779358    4.9984977   0.16152708 
   13400   -950.63758    39.227789   -911.40979    1404.9971   -7762.2189    2.1703622    5.7096617   0.15922219 
   13500   -949.96994    39.303469   -910.66647    1407.7077   -3672.4379    2.1769431    6.3266827   0.16235115 
