   12100   -938.41869    55.047748   -883.37094    1971.6107   -428.62545    2.1529456    62.839574   0.17498291 
   12200    -937.2872    49.970617   -887.31658    1789.7663   -4185.5659    2.1412649    61.671951   0.16899525 
   12300   -940.22537    47.523919   -892.70145    1702.1344    4240.8243    2.1749862    62.380913   0.17028041 
   12400   -937.89319    49.354327   -888.53886     1767.693    8737.6047    2.1817383    63.068411    0.1741713 
   12500   -936.56393    51.983296   -884.58063    1861.8531    -10074.54    2.1292152    61.566941   0.18768055 
   12600   -941.16633    46.177238    -894.9891    1653.9012   -1108.6944    2.1624726    62.881322   0.15812637 
   12700   -941.64722    52.129297   -889.51792    1867.0824    12372.252    2.1952787    63.500403   0.16065901 
   12800   -938.89017    51.654538   -887.23563    1850.0782   -6916.9656    2.1399012    61.680421   0.16018596 
   12900    -938.2355    45.051007   -893.18449    1613.5637   -11594.066    2.1343737    63.234169   0.16373352 
   13000   -944.59201    50.591052   -894.00096     1811.988    14309.578    2.2033821    60.447944   0.14562169 
   13100   -938.58893     51.11842   -887.47051    1830.8764    2865.7643    2.1654678    65.450421   0.16316638 
   13200   -938.55028    48.435058   -890.11523    1734.7681   -10193.156     2.136051    59.938163   0.15320821 
   13300   -945.57404    48.805641    -896.7684     1748.041    1796.4213     2.180063    66.057154   0.16623229 
   13400   -943.33821    56.594962   -886.74324    2027.0263    690.60813    2.1668528    63.110548   0.14570384 
   13500    -936.6502    48.300125   -888.35007    1729.9353    410.37201    2.1548547    62.340702   0.16054917 
   13600   -943.09056    48.761216   -894.32934    1746.4499    -3010.775    2.1620497     61.85895   0.14440814 
   13700   -942.56274    51.615319   -890.94743    1848.6735    5243.3767    2.1764208    63.038967    0.1373442 
   13800   -935.60321    50.494101    -885.1091    1808.5156   -1760.9747    2.1468462    63.269347   0.15736817 
   13900   -943.19169    50.479185   -892.71251    1807.9814   -7144.0662    2.1505233    64.947677   0.15039999 
   14000   -937.65541    47.628859   -890.02656     1705.893    7457.7084    2.1757401    64.329657   0.15392098 
   14100   -931.99364    50.125322   -881.86832    1795.3073   -166.75162    2.1457925    61.016113   0.17591972 
   14200   -943.92539     51.85789    -892.0675    1857.3615   -6872.3079    2.1539015    79.680072   0.14835376 
   14300   -939.91522    50.370153   -889.54507    1804.0762    827.44414    2.1640645    80.582687   0.17350518 
   14400    -937.3535    54.836938   -882.51656    1964.0603    6298.3319    2.1663556    77.258754   0.17312646 
   14500   -939.81478    49.578974    -890.2358    1775.7391    -5502.574    2.1443669    78.954806   0.15398907 
   14600   -937.74238    44.835061   -892.90732    1605.8293   -5107.7057    2.1400156    90.523972    0.1815071 
   14700   -935.27406     50.65031   -884.62375    1814.1104     13001.78    2.1871951    101.96937    0.1899094 
   14800   -937.31894    47.238572   -890.08037    1691.9143   -1070.3138    2.1523567     106.3564   0.19489987 
   14900    -941.4502    44.164197     -897.286    1581.8014   -10661.853    2.1389814    108.56594   0.18426036 
   15000   -938.13433     49.90576   -888.22857    1787.4433    9166.5369    2.1795812     107.4506   0.19299461 
   15100   -940.76501    54.205458   -886.55955    1941.4429    5449.5726    2.1773585    110.17751   0.17540872 
   15200   -941.22169    47.088284    -894.1334    1686.5316   -11268.484    2.1374548    98.098927   0.19933178 
   15300   -940.44441    52.398522   -888.04589    1876.7251   -2196.7353    2.1571923    107.78927   0.17074404 
   15400   -938.85192     55.26722    -883.5847    1979.4714    4069.7558    2.1683361    100.32286   0.18849142 
   15500   -941.22472    48.639792   -892.58493     1742.101   -1888.2165    2.1594572    107.27935   0.17660726 
   15600   -939.55493    51.462437   -888.09249    1843.1979   -3132.6192    2.1476621    93.226367   0.19459011 
   15700   -936.74272    54.708717   -882.03401    1959.4678     2774.898    2.1534136     74.63322   0.16800499 
   15800   -939.84521    47.734555   -892.11065    1709.6786    5854.4163    2.1702573    75.251484   0.16964458 
   15900   -939.41883    50.601291   -888.81754    1812.3547   -6262.2929    2.1451627     76.15563   0.16751761 
   16000    -936.3702    52.615276   -883.75492    1884.4884   -1927.0384    2.1483673    66.634273   0.16939827 
   16100   -942.61407    49.251706   -893.36236    1764.0175    8436.6266    2.1875248    74.654346   0.16459148 
   16200   -936.57912    48.165016    -888.4141    1725.0962   -1659.3655      2.15273    68.605516   0.15729608 
   16300   -936.68894    50.753507   -885.93543    1817.8066   -9114.2036    2.1267222    76.707796    0.1438668 
   16400   -947.61399    53.404344   -894.20964    1912.7499    4474.2733    2.1833318    70.125743   0.15469279 
   16500   -942.20829    51.689444   -890.51885    1851.3284    7846.4373    2.1829213    66.154489   0.16144924 
   16600   -932.72434    46.471331   -886.25301    1664.4345   -13470.306    2.1117153    82.345531   0.19208117 
   16700   -941.18089    50.436941   -890.74394    1806.4683   -3091.0001    2.1591132    72.561174   0.17288777 
   16800   -943.67841    52.768337   -890.91008    1889.9705    15197.258    2.2053026    83.051534   0.15630077 
   16900   -940.59774    56.729893   -883.86785     2031.859   -7523.0782    2.1396358    72.413815   0.17225493 
   17000   -938.38556    48.469545   -889.91602    1736.0033   -6549.4378    2.1397509    78.336387   0.15643334 
   17100   -940.08889    47.890173   -892.19871    1715.2523    6836.7645    2.1786328    71.920154   0.14851512 
   17200   -937.20332    51.198633   -886.00469    1833.7494    2619.3376    2.1629057    74.955162   0.15754755 
   17300   -942.50815    56.311997   -886.19616    2016.8915   -8849.7554     2.139413     74.72038   0.16329093 
   17400   -944.09403    50.131818   -893.96221    1795.5399    3164.4697    2.1752343    73.679992   0.15369328 
   17500   -943.02345     55.18838   -887.83507    1976.6476   -254.50057    2.1651878    72.297863   0.16797042 
   17600   -934.47118    48.802147   -885.66903    1747.9159   -2900.2269    2.1433423    73.422801    0.1772138 
   17700   -939.13618    43.096862   -896.03932    1543.5733    2919.7385    2.1646937    67.010405    0.1572743 
   17800    -941.2171    51.531911   -889.68519    1845.6862   -1485.1811    2.1578534    74.549632   0.15094719 
   17900   -938.34294    50.712702   -887.63024    1816.3451    1484.2499      2.15846    76.747562   0.14839122 
   18000   -945.82898     48.61767   -897.21131    1741.3086   -623.32606    2.1727867     75.69567   0.17119665 
   18100   -940.04586    49.974058    -890.0718    1789.8895   -2607.9341    2.1548574    74.295203   0.16458819 
   18200   -937.48314     49.84978   -887.63336    1785.4383    3907.3748    2.1660861    71.436464   0.18277738 
   18300   -945.20988    50.409292   -894.80059     1805.478    -416.7641    2.1678782    69.598096   0.16040035 
   18400   -940.38632    51.681632   -888.70468    1851.0486   -4984.8953      2.14728    72.091026   0.17448704 
   18500   -936.28615    49.961613   -886.32453    1789.4438    4382.4764    2.1619299    72.180731   0.18466506 
   18600   -939.45419    47.114975   -892.33922    1687.4875    4116.7532    2.1693857    73.374771    0.1524128 
   18700   -941.88097    50.760951   -891.12002    1818.0732    -5100.602    2.1485356    74.540128   0.15654789 
   18800   -933.46156     50.37134   -883.09022    1804.1187   -1534.2822    2.1433627    82.505576    0.1578599 
   18900    -939.6534    48.661452   -890.99194    1742.8767    7661.3539    2.1773617    73.367462   0.15357051 
   19000   -944.53104    52.064292   -892.46675    1864.7541   -5409.5003    2.1567891    73.347372    0.1599024 
   19100   -937.72229    54.076049   -883.64625     1936.808   -9494.3864    2.1286133    76.554761   0.17132184 
   19200    -942.7985    50.426967   -892.37153    1806.1111    7720.0125    2.1829963    71.593901   0.14747212 
   19300   -943.72698    51.037448   -892.68953    1827.9763   -2751.7531    2.1608507    76.577316   0.15479808 
   19400   -936.26746    47.861806   -888.40566    1714.2363   -5644.1925    2.1358269    78.294192   0.16951807 
   19500   -937.75198    54.184172   -883.56781    1940.6806    5072.0239    2.1645068    76.795259   0.15683466 
   19600   -942.94189    48.484046   -894.45784    1736.5227    6676.1827    2.1829759     70.01266   0.15275647 
   19700   -938.03285    47.315295   -890.71756    1694.6623    -14174.43    2.1177146    86.197136   0.16560282 
   19800   -936.32491    49.031859   -887.29305    1756.1434    4339.7585    2.1645884    110.48661   0.18234883 
   19900   -939.97832    47.668611   -892.30971    1707.3168    8497.9513     2.183528    98.719142   0.18827935 
   20000   -944.32736     45.62469   -898.70267     1634.111   -10271.428    2.1485451    103.76799   0.16934269 
   20100   -939.26491    51.525594   -887.73932    1845.4599   -5028.4565    2.1447304    102.32518   0.19469823 
   20200   -940.35563    53.464449   -886.89119    1914.9027    5553.1661    2.1743409    114.71685   0.20091015 
   20300   -946.41697    55.349481   -891.06749    1982.4177   -7855.9526     2.152724    102.06895   0.19628861 
   20400   -941.37845    44.593296   -896.78515    1597.1701    -4590.444    2.1606386    103.80552    0.1716321 
   20500   -945.27681     48.40465   -896.87216     1733.679    5169.3216    2.1837325    99.355724   0.16489507 
   20600   -942.34363    53.166671   -889.17696    1904.2374    -2123.293    2.1563439    101.83812   0.16720093 
   20700   -941.16528    50.800406   -890.36487    1819.4863   -5649.3267    2.1449637    102.44925   0.16180932 
   20800   -942.45002    53.456289   -888.99374    1914.6104    4619.1046    2.1744874    105.12877   0.16412379 
   20900   -943.34629    51.360599    -891.9857    1839.5504   -642.08717    2.1672186    99.969799   0.15590221 
   21000   -943.34906    44.510609   -898.83845    1594.2086   -3664.9663    2.1629792    99.615252   0.14385338 
   21100   -940.53476    48.157364   -892.37739    1724.8222    2824.5849    2.1685896    88.314396   0.17382223 
   21200   -938.10299    50.382866   -887.72013    1804.5315    4085.2718    2.1631133    95.759647   0.16450631 
   21300   -938.99365    47.370697   -891.62296    1696.6466   -3723.7391    2.1480675    95.446232    0.1632276 
   21400   -942.90617    44.941602   -897.96457    1609.6452    2282.0455    2.1769568    104.85752   0.15940475 
   21500   -943.82492    56.118734   -887.70618    2009.9695    3890.5438    2.1747501    105.86644   0.15212635 
   21600   -940.52226    50.741178   -889.78108     1817.365   -8425.1625    2.1386946    108.32102   0.14407908 
   21700   -941.68139    47.667665   -894.01372    1707.2829   -3960.0951    2.1537697    98.051455   0.16234878 
   21800   -946.54042    49.966197   -896.57422     1789.608    14872.166    2.2102454    99.627638   0.14887683 
   21900    -941.6041    54.929467   -886.67463    1967.3743   -8400.3418    2.1328898    97.615983   0.14927013 
   22000   -942.08524    50.773595   -891.31165     1818.526   -9621.9758    2.1347845    99.748394   0.15734143 
   22100   -940.72698    50.151011   -890.57597    1796.2273    13442.643    2.1902732    101.82789   0.14839929 
   22200   -932.39689    52.294491    -880.1024     1872.999    1441.2304    2.1419703    116.61243   0.16779031 
   22300   -940.37903     51.38874   -888.99029    1840.5583   -5662.0065    2.1430539    103.96998   0.17607709 
   22400   -942.76128    51.238508   -891.52277    1835.1775    698.47901    2.1684099    102.51399   0.15007714 
   22500    -941.2879    52.579998    -888.7079    1883.2249    2305.8137    2.1671812    103.17068   0.15262825 
   22600   -934.17146    53.067094   -881.10437    1900.6709   -7238.7284    2.1235144    108.71672   0.16470504 
   22700   -942.89292    50.625181   -892.26774    1813.2104    4561.7502    2.1737274     98.41806   0.13939141 
   22800   -939.19642    48.835018   -890.36141    1749.0933    4495.6549     2.170264    99.728496    0.1613734 
   22900   -935.71723    49.129256   -886.58797    1759.6318   -5639.5337    2.1342968    109.82841   0.17360102 
   23000   -933.28195    53.730881   -879.55107    1924.4453    1184.9802    2.1479653     104.0512   0.18473776 
   23100    -939.5643    48.946625   -890.61767    1753.0906    11042.356    2.1895516    97.334384   0.17890866 
   23200   -940.68306    49.789952   -890.89311    1783.2955   -15052.977    2.1262769    105.02536   0.16937995 
   23300   -940.38143    50.043762   -890.33767    1792.3861    1593.4691    2.1613528    100.01941   0.17542354 
   23400    -942.5991    53.482722   -889.11638    1915.5571    10377.494    2.1909923    100.36802   0.16127534 
   23500   -933.22949    54.541951   -878.68754    1953.4949    -7217.034    2.1272846    105.28055   0.18285888 
   23600   -937.99228    48.532631   -889.45965    1738.2628    863.30207     2.160171    100.23732   0.16652991 
   23700   -941.82681    51.018259   -890.80855     1827.289    1907.0654    2.1698636    102.69478   0.15610936 
   23800   -939.01302    49.803788   -889.20923    1783.7911    627.00138    2.1631913    101.41724    0.1679018 
   23900   -932.35338    53.282179    -879.0712    1908.3744   -3722.3315    2.1340097    104.24617   0.18700402 
   24000   -939.73047    49.682802   -890.04766    1779.4578    6731.6694     2.176701    103.85946   0.16396956 
   24100   -938.58807    47.717194   -890.87087    1709.0569    39.918828    2.1606132    94.784639   0.18328139 
   24200   -938.38317    50.502245   -887.88092    1808.8073   -6803.7415    2.1433855    103.87731   0.18942316 
   24300    -932.3051    53.932665   -878.37244    1931.6725    3851.0912    2.1549564    102.42628   0.16530708 
   24400   -940.09749    50.840835   -889.25666    1820.9343    7255.3155    2.1787942    104.95376   0.14330481 
   24500   -939.61859    48.931503   -890.68709     1752.549    -11179.44    2.1335623    123.21594   0.17173498 
   24600   -936.49116    51.531945   -884.95921    1845.6874   -2829.0808    2.1458972    107.32478   0.18933208 
   24700   -942.48928    49.556109   -892.93318    1774.9201    12932.955    2.1940528     101.3782   0.15724936 
   24800   -940.99627    46.685652   -894.31061    1672.1108   -5620.0212    2.1501182    101.78365   0.14859524 
   24900   -938.22795     48.87802   -889.34993    1750.6334   -3914.3686    2.1504691    99.216479   0.16668973 
   25000   -939.13216    52.650193   -886.48197     1885.739    6388.3096    2.1748195    96.225958   0.15342126 
   25100   -943.50353    46.409711   -897.09382    1662.2276   -910.39494    2.1666197    106.44496   0.14989899 
   25200      -939.73    47.371702    -892.3583    1696.6826   -4992.8134    2.1498101    102.27557   0.15003191 
   25300   -942.36196    55.266482   -887.09548    1979.4449    3014.7005    2.1662487    110.29918   0.14947735 
   25400   -943.81996    49.623754   -894.19621    1777.3429    2442.9738    2.1702163    103.90635    0.1505183 
   25500   -942.46174    46.779714   -895.68203    1675.4797   -1344.7271    2.1624623    104.08029   0.14167291 
