LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00101523 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1675   -951.04357            0   -904.27725   -114861.02    5330.9442 
    3200    1641.7188   -943.48971            0    -897.6526   -9066.8433    4700.2408 
Loop time of 2.26323 on 1 procs for 3200 steps with 217 atoms

Performance: 366.485 ns/day, 0.065 hours/ns, 1413.907 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1853     | 2.1853     | 2.1853     |   0.0 | 96.56
Neigh   | 0.029037   | 0.029037   | 0.029037   |   0.0 |  1.28
Comm    | 0.014271   | 0.014271   | 0.014271   |   0.0 |  0.63
Output  | 2.5477e-05 | 2.5477e-05 | 2.5477e-05 |   0.0 |  0.00
Modify  | 0.029497   | 0.029497   | 0.029497   |   0.0 |  1.30
Other   |            | 0.005095   |            |       |  0.23

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4131 ave 4131 max 4131 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8262 ave 8262 max 8262 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8262
Ave neighs/atom = 38.0737
Neighbor list builds = 49
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.664 | 9.664 | 9.664 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -943.48971    45.837104    -897.6526    1641.7188   -9066.8433    2.1457003            0 8.0261347e-32 
    9300   -952.11698    43.697553   -908.41943    1565.0879    5765.2293     2.202541  0.041362126   0.12672454 
    9400   -949.03555    45.432177   -903.60338    1627.2158   -3213.9888    2.1748505   0.08544694    0.1234277 
    9500   -943.59802    44.364362   -899.23365    1588.9706   -634.62047    2.1670362  0.070434128   0.11968513 
    9600   -946.83774    49.800583   -897.03716    1783.6763    3305.5672    2.1792732   0.26819387   0.12094367 
    9700   -947.83764    46.764326   -901.07331    1674.9286    704.35519     2.179431  0.043404835   0.12523226 
    9800   -950.20716    44.278027   -905.92913    1585.8784   -6814.1583    2.1705133   0.13195426   0.12129489 
    9900   -948.41822    49.738712   -898.67951    1781.4603   -733.88727    2.1738059   0.01591561   0.11939205 
   10000   -945.10878    48.519167   -896.58961    1737.7806     6840.571    2.1855262  0.016127387   0.11848504 
   10100   -945.45888    42.185514   -903.27337    1510.9321   -2781.7231    2.1667318    0.1192644   0.12752531 
   10200   -949.16189    45.441934   -903.71996    1627.5653   -7289.2318    2.1615504  0.066579189   0.12008589 
   10300   -944.16455    47.474444    -896.6901    1700.3624    9305.8181    2.1906568   0.18789686   0.14149084 
   10400   -946.93293    48.954105   -897.97882    1753.3585     58.41757    2.1781209   0.46008724    0.1269379 
   10500   -948.27283    44.939255   -903.33357    1609.5611   -12231.769    2.1508061   0.22008331   0.11115841 
   10600   -949.46378    45.212605   -904.25117    1619.3516     2449.585    2.1839653  0.054729309    0.1057337 
   10700    -947.7403    51.445566   -896.29473    1842.5936    8998.8426    2.1917674    0.2791082   0.12470223 
   10800   -943.24169    44.846054   -898.39564     1606.223    -5125.356    2.1593256  0.092210836   0.12919966 
   10900   -944.61063    43.995469   -900.61516    1575.7581   -7817.5188    2.1540983   0.15710644    0.1278933 
   11000   -950.21193    42.405557   -907.80637    1518.8133    10608.405    2.2104379   0.10576816   0.11897853 
   11100   -945.12441    47.002693   -898.12172     1683.466    1350.9607    2.1761526  0.078257418   0.12949736 
   11200   -947.06874    48.915567   -898.15317    1751.9782    -8754.405    2.1559221    0.4364118   0.13666378 
   11300   -944.95954    46.992692   -897.96684    1683.1078    1208.9834    2.1742829    0.1158785    0.1263704 
   11400   -950.16614    42.517866   -907.64827    1522.8358    6021.6562     2.199566  0.028384118   0.12086676 
   11500   -945.63416    44.930334   -900.70382    1609.2416   -2254.0841    2.1677475    0.1813812   0.12116046 
   11600   -946.81109    49.088962   -897.72213    1758.1886   -1987.8003    2.1683858  0.068300966   0.12465655 
   11700   -946.32664    48.898859   -897.42778    1751.3798    1455.8615    2.1777182   0.04328807   0.11841005 
   11800   -950.17611    43.281113     -906.895    1550.1725   -83.219083    2.1850119  0.034484566   0.12872292 
