LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000986441 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1550   -951.04357            0   -907.76727   -115560.29    5330.9442 
    3200    1527.6675   -948.63483            0   -905.98206   -5738.2516    4651.7986 
Loop time of 2.3096 on 1 procs for 3200 steps with 217 atoms

Performance: 359.127 ns/day, 0.067 hours/ns, 1385.522 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2305     | 2.2305     | 2.2305     |   0.0 | 96.58
Neigh   | 0.030449   | 0.030449   | 0.030449   |   0.0 |  1.32
Comm    | 0.014389   | 0.014389   | 0.014389   |   0.0 |  0.62
Output  | 2.5111e-05 | 2.5111e-05 | 2.5111e-05 |   0.0 |  0.00
Modify  | 0.029373   | 0.029373   | 0.029373   |   0.0 |  1.27
Other   |            | 0.004835   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4185 ave 4185 max 4185 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8370 ave 8370 max 8370 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8370
Ave neighs/atom = 38.5714
Neighbor list builds = 51
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.663 | 9.663 | 9.663 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -948.63483     42.65277   -905.98206    1527.6675   -5738.2516    2.1680448            0 1.0009129e-31 
   12800   -946.87996    42.172855   -904.70711    1510.4787   -961.09697    2.1748802  0.073701714   0.10566789 
   12900    -950.5979    38.396652   -912.20125    1375.2288    334.17229     2.190625    0.1242003   0.11508635 
   13000   -949.83238    40.107773   -909.72461     1436.515    2027.7215    2.1900392  0.045332912   0.10739908 
   13100   -950.85501    46.144917   -904.71009    1652.7436    758.16092    2.1860064   0.02219677  0.097367611 
   13200   -951.51709    44.852545   -906.66454    1606.4555   -2873.6083    2.1804251  0.032242788   0.11122691 
   13300   -953.08699    39.019235   -914.06775    1397.5275   -2244.1711    2.1890546   0.08667139  0.093461421 
   13400   -951.06921    45.295116   -905.77409    1622.3068   -3465.1285    2.1766785     0.109094   0.10927493 
   13500   -947.89037    42.832405   -905.05796    1534.1014    5315.1017    2.1969968   0.22791083   0.14485739 
   13600   -951.15226     41.73154   -909.42072    1494.6724    3134.5594    2.1962492  0.018513077   0.10089691 
   13700   -951.07529     37.27579    -913.7995    1335.0836   -6623.1638    2.1743577   0.25359425   0.10945461 
   13800    -949.5786    44.894957   -904.68364    1607.9745   -9573.0783    2.1601094  0.027350252   0.11566919 
   13900   -950.87666    45.477497   -905.39916     1628.839    8468.2327    2.2065818   0.11954011   0.11302421 
   14000   -948.73092    41.490935   -907.23998    1486.0548    9659.8322    2.2085271   0.12731412   0.12092296 
   14100   -947.68181    48.837599   -898.84421    1749.1857   -7777.2935    2.1543773  0.041589199   0.10561489 
   14200   -946.86176    44.984254    -901.8775    1611.1728   -5763.3052    2.1614851  0.086504088    0.1044134 
   14300     -950.665    44.295587   -906.36942    1586.5073    3026.4613    2.1959556   0.33303141   0.11513139 
   14400   -952.56669    45.555679   -907.01101    1631.6392    4372.5777    2.1997889   0.13785935   0.12361065 
   14500   -942.84355    45.122885   -897.72066    1616.1381   -2752.4809    2.1628335  0.019052111   0.12662699 
   14600   -947.80699     43.04012   -904.76687     1541.541   -1912.9509    2.1735615  0.098156027   0.11647073 
   14700   -950.91917    43.732475   -907.18669    1566.3386    402.75878    2.1886668   0.11240364   0.10438244 
   14800   -950.46786    46.492004   -903.97586     1665.175     2011.743    2.1883916   0.07872773   0.11532893 
   14900   -946.02756    47.734159    -898.2934    1709.6645   -3633.5663    2.1641974   0.19921084   0.12506612 
   15000   -949.58364    41.934316   -907.64933    1501.9351   -2567.6174    2.1771654  0.092909025    0.1186187 
   15100   -952.30517    46.077764    -906.2274    1650.3384    1488.9906    2.1923428   0.18609029  0.099477864 
   15200   -949.28501    47.092041   -902.19297    1686.6661    2810.5785    2.1901184  0.094983716    0.1138125 
   15300   -945.24354    46.516389   -898.72715    1666.0484   -8838.1872    2.1515684  0.028889959    0.1070533 
