LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000976145 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1500   -951.04357            0   -909.16328   -115839.99    5330.9442 
    3200    1540.4495   -949.20242            0   -906.19277    4909.7997    4589.8244 
Loop time of 2.2792 on 1 procs for 3200 steps with 217 atoms

Performance: 363.917 ns/day, 0.066 hours/ns, 1404.000 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2305     | 2.2305     | 2.2305     |   0.0 | 97.86
Neigh   | 0.0011485  | 0.0011485  | 0.0011485  |   0.0 |  0.05
Comm    | 0.013408   | 0.013408   | 0.013408   |   0.0 |  0.59
Output  | 2.6449e-05 | 2.6449e-05 | 2.6449e-05 |   0.0 |  0.00
Modify  | 0.02927    | 0.02927    | 0.02927    |   0.0 |  1.28
Other   |            | 0.004868   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4154 ave 4154 max 4154 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8308 ave 8308 max 8308 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8308
Ave neighs/atom = 38.2857
Neighbor list builds = 2
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.656 | 9.656 | 9.656 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -949.20242    43.009644   -906.19277    1540.4495    4909.7997    2.1973189            0 4.5751536e-32 
    9300   -957.43501    39.875839   -917.55917    1428.2079    4824.6611    2.2144379   0.35365076   0.12316158 
    9400    -951.5563    40.892193    -910.6641    1464.6101   -3395.6943    2.1847819   0.12895982   0.13367113 
    9500   -952.02136    42.906902   -909.11446    1536.7696   -10311.608     2.165433   0.20860665   0.14275124 
    9600   -948.52411    42.149215    -906.3749     1509.632   -116.73038    2.1868511   0.41658257   0.14462452 
    9700   -954.10952    39.690188   -914.41933    1421.5586    12370.395    2.2275945   0.25905287   0.12538869 
    9800   -951.16648    38.238742   -912.92774    1369.5731    -1645.888    2.1893446   0.15278395    0.1331687 
    9900   -949.65432    40.512127    -909.1422    1450.9975   -11283.454    2.1579238   0.22781219   0.12504855 
   10000   -951.73249    45.004652   -906.72783    1611.9034   -1075.6733    2.1833509  0.050748727   0.12986874 
   10100   -954.32217    39.403099   -914.91907    1411.2761     13701.02    2.2338458   0.40172611   0.12896571 
   10200   -952.63487     41.70081   -910.93406    1493.5718    2100.0164    2.1981486  0.072829514   0.12767183 
   10300   -948.18773    39.946328    -908.2414    1430.7326   -8390.2793    2.1657558  0.053179334   0.12862436 
   10400    -954.2804    44.348441   -909.93195    1588.4003   -5859.5779    2.1822435   0.21065149   0.13413614 
   10500   -953.66817    37.329313   -916.33886    1337.0006    7800.7648    2.2170913   0.30596887   0.12642103 
   10600   -948.02331    40.312767   -907.71054    1443.8571    3123.8231    2.1928318   0.38868898   0.14004052 
   10700   -949.53428    40.937644   -908.59664    1466.2379   -1568.6117    2.1859071   0.11949555   0.14433359 
   10800   -953.65429    41.782763   -911.87153     1496.507   -2882.1338    2.1897873   0.11250964   0.11924341 
   10900    -956.3635    38.750309   -917.61319    1387.8955    967.16637    2.2061291  0.070806785    0.1161831 
   11000   -946.63912     38.31554   -908.32358    1372.3237     1578.024    2.1860959   0.23231852   0.13366842 
   11100    -953.7473    44.966233   -908.78107    1610.5274   -1722.9533    2.1921512  0.083033916   0.12460358 
   11200   -949.62373    40.219814   -909.40392    1440.5279     3009.278     2.197108   0.20952373     0.128098 
   11300   -953.86052    39.891265   -913.96926    1428.7604     -1537.61    2.1957509   0.18959613   0.12509317 
   11400   -955.12788    38.767664   -916.36022    1388.5171   -1799.8916    2.1968395   0.17206302   0.11530639 
   11500   -953.63857    43.438309   -910.20026    1555.8027     2395.396    2.2021761   0.29339145   0.14102769 
   11600    -949.8383    41.712211   -908.12609    1493.9801    5737.0928    2.1991949   0.17415985   0.12411614 
   11700   -954.11668     44.60508    -909.5116    1597.5922   -6449.4741    2.1793701   0.12560768   0.12554439 
   11800   -953.29843    36.413439     -916.885    1304.1973   -2982.8224    2.1905148  0.039032877   0.12109181 
