LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000983412 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1425   -951.04357            0   -911.25729   -116259.55    5330.9442 
    3200    1376.7788   -954.18499            0   -915.74506    6857.5654    4558.2301 
Loop time of 2.30159 on 1 procs for 3200 steps with 217 atoms

Performance: 360.377 ns/day, 0.067 hours/ns, 1390.342 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.253      | 2.253      | 2.253      |   0.0 | 97.89
Neigh   | 0.0012455  | 0.0012455  | 0.0012455  |   0.0 |  0.05
Comm    | 0.013353   | 0.013353   | 0.013353   |   0.0 |  0.58
Output  | 2.9279e-05 | 2.9279e-05 | 2.9279e-05 |   0.0 |  0.00
Modify  | 0.02917    | 0.02917    | 0.02917    |   0.0 |  1.27
Other   |            | 0.004808   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4196 ave 4196 max 4196 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8392 ave 8392 max 8392 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8392
Ave neighs/atom = 38.6728
Neighbor list builds = 2
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.658 | 9.658 | 9.658 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -954.18499    38.439927   -915.74506    1376.7788    6857.5654    2.2125491            0 2.410979e-32 
   18500   -949.50932    38.778417    -910.7309    1388.9023    2435.6007    2.1913083    6.1558021   0.10074307 
   18600   -950.31798    35.602125   -914.71586     1275.139     7908.554    2.2086098    7.0002545  0.094605133 
   18700   -955.39403    37.703867   -917.69017    1350.4158    2803.8442    2.2047234    6.3557908   0.10004653 
   18800   -949.50607    39.710226   -909.79584    1422.2763   -1851.5377    2.1799905    7.7053271   0.10978503 
   18900   -952.55282     37.76016   -914.79266     1352.432   -1414.5921    2.1916366    7.4033876   0.10414573 
   19000   -953.76966     37.39722   -916.37244    1339.4328    3080.5388    2.2043726    7.2061877   0.09592638 
   19100   -949.60855    40.984095   -908.62446    1467.9016    1795.8959    2.1894145    7.2415027   0.10414465 
   19200   -952.97733    38.256976   -914.72035    1370.2261    834.58957    2.1955526    6.2172885  0.099258603 
   19300   -956.50909    40.618467   -915.89062    1454.8062   -815.21432    2.1952713    5.6519523  0.082711391 
   19400   -949.60117     41.05856   -908.54261    1470.5687   -472.25367    2.1818147    5.7247122   0.10457918 
   19500   -954.15739    38.874933   -915.28246    1392.3591    1541.1387    2.1971887    5.2239418   0.09274699 
   19600   -955.07763    39.530863   -915.54677    1415.8521   -7.3169627    2.1983397     7.390328  0.091601995 
   19700   -951.05268    41.605999   -909.44668     1490.176    -1343.816    2.1855847    6.7190945   0.10463093 
   19800    -955.8245    39.532852   -916.29165    1415.9234   -3322.8205    2.1937576    5.7222062  0.094409586 
   19900   -953.62689    37.882582   -915.74431    1356.8167   -2971.1809    2.1895494     7.092071   0.10694292 
   20000   -951.31174    41.535154   -909.77659    1487.6386    1024.7097    2.1914525    5.9795319   0.10130162 
   20100   -953.88276    37.832779   -916.04998    1355.0329    3101.2618    2.2066341    6.1435389   0.10565139 
   20200   -954.48769    38.290538   -916.19716    1371.4282   -812.63065    2.1957622    5.3672861   0.10543366 
   20300   -952.97186    42.584474   -910.38738    1525.2214   -5539.8322    2.1759209    5.8430038  0.097255073 
   20400   -954.25289    37.524094   -916.72879     1343.977   -690.43617    2.1953075    5.9366055  0.094380596 
   20500   -956.11708     40.50476   -915.61232    1450.7336     3064.058    2.2092071    6.3410356  0.081925794 
   20600   -953.47749    43.631901   -909.84559    1562.7365    1611.8886     2.197442    6.3218242  0.096612381 
   20700   -954.19719    37.634983    -916.5622    1347.9486    -2274.228    2.1913772    6.7064453  0.095606284 
   20800   -951.94903    36.606756   -915.34227    1311.1213   -3301.0014    2.1839665    5.9861015  0.094237415 
   20900    -951.9193    42.050539   -909.86876    1506.0978    1488.8155    2.1898151    6.4339681  0.092109973 
   21000   -954.46058    38.347305   -916.11328    1373.4614    7169.1204    2.2150737    6.8082039  0.094581223 
