LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00106072 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1550   -951.04357            0   -907.76727   -115560.29    5330.9442 
    3200     1583.653   -950.22865            0   -906.01275    1628.5246    4608.1245 
Loop time of 2.27896 on 1 procs for 3200 steps with 217 atoms

Performance: 363.956 ns/day, 0.066 hours/ns, 1404.152 timesteps/s
99.9% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2129     | 2.2129     | 2.2129     |   0.0 | 97.10
Neigh   | 0.017799   | 0.017799   | 0.017799   |   0.0 |  0.78
Comm    | 0.013894   | 0.013894   | 0.013894   |   0.0 |  0.61
Output  | 2.5456e-05 | 2.5456e-05 | 2.5456e-05 |   0.0 |  0.00
Modify  | 0.029386   | 0.029386   | 0.029386   |   0.0 |  1.29
Other   |            | 0.004968   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    953 ave 953 max 953 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4187 ave 4187 max 4187 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8374 ave 8374 max 8374 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8374
Ave neighs/atom = 38.5899
Neighbor list builds = 30
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.661 | 9.661 | 9.661 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -950.22865    44.215893   -906.01275     1583.653    1628.5246    2.1885928            0 7.6184795e-32 
   10700   -947.63972     45.73166   -901.90806    1637.9422    4306.1448    2.1887271     15.93918   0.11503544 
   10800   -948.68728    45.127276   -903.56001    1616.2954   -10242.138    2.1551417    14.227239   0.10701086 
   10900   -948.79481    39.440975   -909.35383    1412.6327   -5073.3756    2.1712919    12.645995   0.10320068 
   11000   -946.98746      42.7134   -904.27406    1529.8391    12151.555    2.2101161     13.29624   0.12435166 
   11100   -948.31467    43.089856   -905.22481    1543.3224    6139.3895    2.1980326    14.037007   0.11487756 
   11200   -953.22191    39.888263   -913.33365    1428.6529   -7481.1589    2.1748156    14.907991   0.11138906 
   11300   -947.78362    40.697032   -907.08659    1457.6201    -7831.606    2.1650792    15.738841   0.12160002 
   11400   -948.32711    44.485414   -903.84169    1593.3062    5509.8462    2.1954992    14.521395   0.11194396 
   11500   -951.39057    40.839395   -910.55117     1462.719    6955.1526    2.2041172     14.65036   0.10506993 
   11600   -950.81928    41.423628   -909.39565    1483.6441   -4015.9053    2.1758759      14.6868   0.10581782 
   11700   -946.92272    42.709775   -904.21295    1529.7093   -3774.2602    2.1658053    17.080831   0.11033427 
   11800   -951.95151    44.865251   -907.08626    1606.9106    884.59487     2.187315    13.411084   0.11541589 
   11900   -955.08358    43.775065   -911.30851    1567.8641    3108.9511     2.202655    12.730121   0.11410038 
   12000   -947.90944    46.435442   -901.47399    1663.1491   -3960.9604    2.1677234    13.738713   0.11487616 
   12100   -951.44036      46.5624   -904.87796    1667.6963   -4255.8307    2.1771265    13.361834   0.11809893 
   12200   -949.66369     41.67342   -907.99027    1492.5908    2010.4898    2.1903639    15.169071   0.11457091 
   12300   -948.27887    42.793895   -905.48498    1532.7221    3710.4438     2.188369    14.874423   0.12411336 
   12400   -945.00057    44.730752   -900.26982    1602.0933   -3247.4566    2.1643522    16.629893   0.11802463 
   12500   -949.40071    42.217226   -907.18349    1512.0679   -1604.4548     2.180892    13.342044   0.10414058 
   12600   -945.95863    39.283596   -906.67503     1406.996    4882.0614    2.1927274    16.535612    0.1151368 
   12700   -944.03365    45.509804   -898.52385    1629.9961    889.89972     2.171263     12.33767   0.11117304 
   12800   -948.08585    41.469985   -906.61586    1485.3045    1011.6095    2.1839052    15.443795    0.1163393 
   12900   -949.65428    42.252775   -907.40151    1513.3412   -1477.9697    2.1795942    12.045533   0.10775146 
   13000   -946.52512    44.590346   -901.93477    1597.0645     280.6429    2.1765644    14.703871   0.11665371 
   13100   -950.43627    46.865247   -903.57102    1678.5432   -2385.9583    2.1774179    14.009906   0.10923488 
   13200   -949.46164    40.342314   -909.11932    1444.9154    1852.9797    2.1877835    15.569452   0.10833042 
   13300   -946.69607    41.626209   -905.06986    1490.8998    3140.5978    2.1856904    15.349386   0.11928451 
