LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.0010033 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1700   -951.04357            0   -903.57924   -114721.17    5330.9442 
    3200    1800.9554    -945.5665            0   -895.28348   -10413.918    4704.0144 
Loop time of 2.28814 on 1 procs for 3200 steps with 217 atoms

Performance: 362.495 ns/day, 0.066 hours/ns, 1398.516 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1881     | 2.1881     | 2.1881     |   0.0 | 95.63
Neigh   | 0.050815   | 0.050815   | 0.050815   |   0.0 |  2.22
Comm    | 0.014983   | 0.014983   | 0.014983   |   0.0 |  0.65
Output  | 2.5363e-05 | 2.5363e-05 | 2.5363e-05 |   0.0 |  0.00
Modify  | 0.029406   | 0.029406   | 0.029406   |   0.0 |  1.29
Other   |            | 0.004824   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    953 ave 953 max 953 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4155 ave 4155 max 4155 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8310 ave 8310 max 8310 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8310
Ave neighs/atom = 38.2949
Neighbor list builds = 86
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.662 | 9.662 | 9.662 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200    -945.5665     50.28302   -895.28348    1800.9554   -10413.918     2.143979            0 2.1356423e-32 
    9500   -945.22805    43.705354    -901.5227    1565.3673    1105.1265    2.1772403    18.491116    0.1538923 
    9600   -941.41372    48.778707   -892.63501    1747.0764    -5554.271    2.1517208    19.270036   0.15215731 
    9700   -943.73967       50.024   -893.71567    1791.6783     2485.572    2.1769095    17.157148   0.12458227 
    9800   -948.77984    50.060973   -898.71887    1793.0025    1487.8967    2.1863582    20.644375   0.13110561 
    9900    -941.8463    47.661321   -894.18498    1707.0557    -3610.716    2.1581533    18.225509   0.12476417 
   10000   -938.09235    47.314686   -890.77766    1694.6405   -3126.9463    2.1521232    18.140688   0.12750643 
   10100   -945.85988    47.579688   -898.28019    1704.1319    5774.1783    2.1889264    19.160615   0.11825333 
   10200   -939.73876    43.832592   -895.90617    1569.9245    2718.3241    2.1757289    19.642481   0.16536033 
   10300   -939.95913    49.587781   -890.37135    1776.0545   -11770.302    2.1338304    28.785092    0.1656306 
   10400   -943.16715    43.998565   -899.16858    1575.8691    2012.4099    2.1757345    31.913736   0.15926547 
   10500   -944.18157    48.167306   -896.01427    1725.1782    10360.268    2.1991565    33.456436   0.16378182 
   10600   -940.85806    50.138798   -890.71926    1795.7899     -3442.61    2.1587706    35.840541   0.16058779 
   10700   -942.16172    47.395818    -894.7659    1697.5463    -13376.14    2.1358856    38.957264   0.15466426 
   10800   -942.28071    44.629811    -897.6509     1598.478    7152.1229    2.1857942     32.60509   0.16813842 
   10900   -943.38603    51.104515   -892.28151    1830.3784    13112.156    2.1990088    29.872556   0.15859978 
   11000   -942.79429    48.284173   -894.51011     1729.364   -11834.515    2.1394655    26.593023   0.15895722 
   11100   -943.79507    41.708738   -902.08633    1493.8558   -3419.5331    2.1673186    27.709787   0.16349462 
   11200   -942.95536    49.413197   -893.54216    1769.8015    7782.7543    2.1875833    28.668765   0.15198847 
   11300   -941.10045    46.552854    -894.5476    1667.3544    2982.0702    2.1705749     28.96365   0.15700392 
   11400    -944.5418    41.622811   -902.91899    1490.7782   -1416.3528    2.1707289    33.225287   0.14607512 
   11500   -942.43766    48.117159    -894.3205    1723.3821   -2291.3198    2.1681025    29.175437   0.16621479 
   11600   -943.06767    49.524352   -893.54331    1773.7827    3310.6349    2.1765721    31.581406   0.15564952 
   11700   -944.74879    44.459265   -900.28952    1592.3696    1138.6636     2.173061    31.637225   0.14578195 
   11800   -937.72918    43.234996   -894.49419    1548.5208    -950.1446    2.1558555    29.600995   0.14861729 
   11900   -936.42886    44.839402   -891.58946    1605.9848    4602.0608    2.1690925    22.222973   0.15328305 
   12000   -942.63546     45.38055   -897.25491    1625.3667     4414.284    2.1739776    19.599633   0.15271079 
   12100     -943.911    45.803063   -898.10794    1640.4996   -5785.8907    2.1584264    18.781501   0.13469046 
   12200   -938.15521    48.967926   -889.18728    1753.8535   -3407.3292    2.1425265     30.24778    0.1645733 
   12300    -945.0335    49.336863   -895.69664    1767.0675    7582.9576     2.188488     36.49707   0.15793182 
   12400   -945.42453    48.287391   -897.13714    1729.4792    3887.2698    2.1794989    32.109007   0.12760324 
   12500   -937.38988    48.539595   -888.85029    1738.5123   -12693.438    2.1264155     34.75116   0.15495278 
   12600   -943.45857    49.895819   -893.56275    1787.0873   -223.32544    2.1680951    37.336642   0.13804111 
   12700   -944.08357    48.045737   -896.03783     1720.824    10846.394    2.2020644    30.920136   0.16608888 
   12800   -941.93602    45.994469   -895.94156    1647.3551   -6285.3737    2.1533396    33.683575   0.17716968 
   12900   -938.38888    50.164447   -888.22443    1796.7086   -10360.054    2.1287741    33.276312   0.17262748 
   13000   -941.50934    42.623164   -898.88618    1526.6072    15184.661    2.2045582    34.607546   0.15729288 
   13100    -943.1449    46.751722   -896.39318    1674.4771     2032.123    2.1709806    32.050382   0.15499647 
   13200   -938.38462    44.568195   -893.81643    1596.2711   -2763.2528    2.1470033    29.133776   0.15539899 
   13300   -946.06211    43.322269   -902.73984    1551.6466   -438.21635    2.1799902    35.344366   0.15422601 
   13400   -943.01081    45.263981   -897.74683    1621.1916    2136.7306     2.179914    24.916987   0.16679902 
   13500   -942.29256    48.402794   -893.88977    1733.6126   -3294.8619    2.1623179    33.738364   0.15298891 
   13600   -944.71134     46.00069   -898.71065    1647.5779   -5050.6539     2.163858    34.443021   0.15448977 
   13700   -946.54909    45.123166   -901.42593    1616.1482    3551.5805    2.1821876    30.235188   0.15143496 
   13800   -941.19944    49.162679   -892.03676    1760.8289   -319.04002    2.1664937      27.0388   0.18538956 
   13900   -942.59273    46.718672   -895.87406    1673.2934    -2430.246    2.1645587    28.151287   0.17011278 
   14000    -946.3001    45.602897    -900.6972    1633.3304   -1645.6992    2.1785631    30.919989   0.17082562 
   14100   -941.28873     49.38064   -891.90809    1768.6354    3435.1817    2.1774448    32.883138   0.17902448 
   14200   -937.43139    44.633856   -892.79753    1598.6229    3636.1451    2.1727441    31.224875    0.1721302 
   14300   -947.07856    48.441484   -898.63708    1734.9983   -5372.6547    2.1601412    27.828475   0.14087957 
   14400   -940.04995    46.242634   -893.80731    1656.2435    2559.4808    2.1722597    29.944545   0.17164754 
   14500   -938.62868     50.79713   -887.83155     1819.369    4096.8146    2.1712545    31.479307   0.17210786 
   14600   -944.11742    47.621649   -896.49577    1705.6348   -3696.3673    2.1612521    48.167004   0.13159173 
   14700   -941.75288    46.223036   -895.52984    1655.5415    -3241.786    2.1582919    51.100106   0.15596803 
   14800   -937.19832    49.985766   -887.21256    1790.3089     7004.226    2.1772298    51.417608   0.14259721 
   14900   -943.14922    48.094075   -895.05515    1722.5553    1414.4276    2.1802139    58.745762   0.15259134 
   15000   -941.55798    43.936396   -897.62159    1573.6424   -11587.073    2.1376122    50.984282   0.14550313 
   15100   -941.65877    49.943414   -891.71536     1788.792    1924.5275    2.1662407     51.84108    0.1349766 
   15200    -942.9634    44.240757   -898.72265    1584.5435    13087.375    2.2037521    54.483116   0.13368895 
   15300   -945.94929    45.386075   -900.56322    1625.5646   -6035.1354    2.1607728      57.0614   0.13367745 
   15400   -943.45057    47.977094   -895.47348    1718.3655   -6281.3695     2.155507    56.865763   0.13995273 
   15500   -943.72504     49.86437   -893.86067    1785.9609    6506.1078    2.1867709    56.555521   0.15538321 
   15600   -950.72545    47.183806   -903.54164    1689.9528    3243.1991    2.1949566    57.207142   0.13331324 
   15700   -944.85855    47.707359   -897.15119    1708.7046   -7042.3905     2.155477    55.411051    0.1259453 
   15800   -941.29566    46.934831   -894.36083    1681.0354    2036.7312     2.169939    53.587796   0.12722796 
   15900   -948.23136    46.859743   -901.37162    1678.3461    3094.4274    2.1923717     56.86214   0.12729164 
   16000   -945.92128     46.20756   -899.71372    1654.9872   -1766.8812     2.176037    58.924401   0.13973209 
   16100   -945.07786    50.989861     -894.088    1826.2719   -5705.5813    2.1611669    57.298995   0.13801599 
   16200   -945.10672    47.211136   -897.89558    1690.9317   -535.71259    2.1770678    54.871103   0.13494246 
   16300    -947.9776    46.293217   -901.68438    1658.0552    1765.8175     2.186957    54.141941   0.15047662 
   16400   -946.50479    55.503144   -891.00165    1987.9213   -7087.9286    2.1543661    52.848318   0.14020267 
   16500   -944.66676    49.597756     -895.069    1776.4117    1812.4905    2.1741652    55.996266   0.14732859 
   16600   -942.71082    43.517162   -899.19366    1558.6269    4633.1456    2.1791663    54.904502   0.13777803 
   16700   -938.92965    46.653948    -892.2757    1670.9752    1267.7434    2.1625667    58.622827   0.12071865 
   16800   -942.18396    49.973986   -892.20998    1789.8869    -258.2442    2.1649948     52.58695   0.11789244 
   16900    -948.3709    49.807236   -898.56366    1783.9146   -4148.1192     2.168696    54.409162   0.11199375 
   17000   -941.42008    46.655348   -894.76474    1671.0254    3945.1333    2.1775301    55.007657    0.1266585 
   17100    -939.0099    50.563293   -888.44661    1810.9938     1930.292    2.1574911    56.998942   0.15332541 
   17200    -947.1796    48.430555   -898.74904    1734.6069   -911.59745     2.170283    56.722482   0.12876139 
   17300   -947.01035    50.247202   -896.76315    1799.6726    395.53198    2.1765218    56.205174    0.1343605 
   17400   -940.57359    48.268021   -892.30556    1728.7855    290.42145    2.1637033    55.082372   0.15250261 
   17500   -938.57008    48.336492   -890.23359    1731.2379   -5351.4932      2.14795    57.327316   0.14068891 
   17600   -943.43869    43.819685   -899.61901    1569.4622    8910.8664    2.1894706    54.004028   0.13866635 
   17700    -945.4688    49.009852   -896.45895    1755.3551     2931.885    2.1819135    55.653537   0.13116436 
   17800     -939.819    44.160822   -895.65818    1581.6805   -8581.2685    2.1479387    59.511026   0.13537135 
   17900   -946.46896    44.033211   -902.43575    1577.1099    -5607.245    2.1698634    57.539219   0.14701518 
   18000   -946.56258    44.501627   -902.06095    1593.8869    11757.948    2.2098377     53.44273   0.13387338 
   18100   -943.82091    48.122581   -895.69833    1723.5763    2350.5593    2.1765448    53.743392   0.13911847 
   18200   -943.15083    46.838163   -896.31267    1677.5731   -10926.814    2.1431759    57.110824    0.1444848 
   18300   -947.32443    43.785481   -903.53895    1568.2372    3446.5588    2.1873608       54.312   0.12414319 
   18400   -944.57806    43.877731   -900.70033    1571.5412     12627.55    2.2038966     53.21548   0.14029997 
   18500    -943.8091    48.139351   -895.66975     1724.177   -4947.1996    2.1593241    56.177986   0.14127355 
   18600   -944.89313    47.984721   -896.90841    1718.6387   -7360.6756    2.1534982    54.325823   0.11905564 
   18700   -951.39325    47.212004   -904.18125    1690.9628    3658.6254    2.1963801     54.99792   0.13538666 
   18800   -946.18793    48.381044   -897.80688    1732.8336    4667.4773    2.1873743    58.343219   0.12961662 
   18900   -943.59876    48.074464    -895.5243    1721.8529   -3378.5667    2.1595261    52.301134   0.10932695 
   19000   -944.32441    46.671997   -897.65242    1671.6217   -2081.1421    2.1657649    56.574283   0.11972416 
   19100   -950.18384    48.359111   -901.82473     1732.048    919.00016    2.1861512    57.485277   0.12166191 
   19200   -953.82699    44.264057   -909.56293     1585.378   -1549.6146     2.191909     52.22439   0.11718409 
   19300   -950.10329    50.686117   -899.41717    1815.3929   -9171.6838    2.1603042    55.709868   0.13856386 
   19400   -944.76095    47.338868   -897.42208    1695.5066    5259.6194    2.1810923    51.982566    0.1208056 
   19500   -944.26534    50.412975   -893.85236    1805.6099    73.245935    2.1694272    66.723287   0.12742333 
   19600   -940.18079    49.322193    -890.8586    1766.5421   -2018.2298    2.1523722    84.808558   0.13543352 
   19700   -947.75483    46.637069   -901.11777    1670.3707    2472.4579    2.1849415    73.399366   0.11477641 
   19800   -946.67062    49.826517    -896.8441    1784.6051   -612.57329    2.1713151    76.221399   0.13371464 
   19900   -943.46379    50.007288    -893.4565    1791.0797    -3896.506    2.1567971    81.289392   0.13791622 
   20000     -949.735    46.855754   -902.87925    1678.2032    418.21476    2.1845588    81.908806    0.1122123 
   20100    -941.6698    43.696374   -897.97342    1565.0456    3208.2046    2.1757537    80.367086   0.13953477 
   20200   -943.61185    49.231036   -894.38082    1763.2772   -1711.0356    2.1635317    79.180507   0.14370227 
   20300   -945.34407      44.6835   -900.66057    1600.4009    2461.6576    2.1801219    77.773546   0.13030746 
   20400   -945.92966    45.104309   -900.82535    1615.4728    3635.6093    2.1832799    78.322104   0.14241548 
   20500    -938.1747    44.225231   -893.94947    1583.9874    93.123076    2.1613712    74.487171   0.12401311 
