LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00111327 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1675   -951.04357            0   -904.27725   -114861.02    5330.9442 
    3200    1596.2128    -942.6951            0   -898.12853   -12160.171    4705.9808 
Loop time of 2.29944 on 1 procs for 3200 steps with 217 atoms

Performance: 360.714 ns/day, 0.067 hours/ns, 1391.642 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1963     | 2.1963     | 2.1963     |   0.0 | 95.52
Neigh   | 0.053659   | 0.053659   | 0.053659   |   0.0 |  2.33
Comm    | 0.015019   | 0.015019   | 0.015019   |   0.0 |  0.65
Output  | 2.3644e-05 | 2.3644e-05 | 2.3644e-05 |   0.0 |  0.00
Modify  | 0.029427   | 0.029427   | 0.029427   |   0.0 |  1.28
Other   |            | 0.004984   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4108 ave 4108 max 4108 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8216 ave 8216 max 8216 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8216
Ave neighs/atom = 37.8618
Neighbor list builds = 91
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.661 | 9.661 | 9.661 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200    -942.6951    44.566567   -898.12853    1596.2128   -12160.171    2.1430831            0 6.3056373e-32 
    9300   -949.61696    47.402562   -902.21439    1697.7879    -816.8321    2.1789729   0.21695613   0.15346545 
    9400   -942.99623    45.657027    -897.3392    1635.2691    -8267.965    2.1504952  0.059021995   0.15134478 
    9500   -942.04929     48.31521   -893.73408    1730.4756    786.25568    2.1696147   0.12651695    0.1532242 
    9600   -948.31533    45.829914   -902.48542    1641.4613    7527.9114    2.1983719  0.032934429   0.15176729 
    9700   -945.41524    48.495901   -896.91934    1736.9473   -3562.2504    2.1611441  0.089870458   0.16109099 
    9800   -943.22386    47.715856   -895.50801    1709.0089   -6747.2846    2.1531075  0.095217669   0.16330209 
    9900   -946.99137    44.228023   -902.76334    1584.0874    5130.9196    2.1925244  0.058889791   0.14914923 
   10000   -944.24773    47.438302   -896.80943    1699.0679    6385.8548    2.1866275   0.28386387   0.15119955 
   10100   -943.27115    47.897787   -895.37336     1715.525   -8122.7191    2.1488506   0.46073434   0.13170002 
   10200   -945.61947    42.699682   -902.91979    1529.3477    -6479.645    2.1582126   0.15400967   0.13594049 
   10300   -943.25551    45.883298   -897.37221    1643.3733    19069.681    2.2163456  0.076492729   0.18023276 
   10400   -942.57025    50.337872   -892.23238      1802.92    6196.8419    2.1812937 0.0021091867   0.16475028 
   10500   -943.69462     44.18483   -899.50979    1582.5404   -21622.755    2.1162897  0.035781489   0.15819404 
   10600   -946.36799    46.480542   -899.88745    1664.7645   -1327.2819    2.1731948  0.078174939   0.14793345 
   10700   -944.68114    51.713679   -892.96746    1852.1964    12201.331    2.2007743  0.030430639   0.13889826 
   10800   -941.15182    43.998772   -897.15304    1575.8765   -2178.8191    2.1580429  0.026868164   0.13954205 
   10900   -949.08763    46.106747   -902.98088    1651.3765   -9429.8769    2.1579392   0.20555011   0.12264179 
   11000   -946.06024    50.771064   -895.28918    1818.4354    3854.7345    2.1830527  0.087238957    0.1318461 
   11100   -943.39289    46.107295   -897.28559    1651.3961    8069.3175    2.1874419  0.045740541   0.14400441 
   11200   -947.40751    42.669147   -904.73836    1528.2541   -4116.6658    2.1693282   0.20940953   0.15295087 
   11300   -941.46253    44.526768   -896.93576    1594.7873   -3757.4884    2.1562647   0.12730295   0.15195705 
   11400    -945.8593     50.33614   -895.52316     1802.858    6049.1128    2.1846695   0.63860697   0.15029935 
   11500   -949.84208    46.251542   -903.59054    1656.5625    4288.0916    2.1926196  0.061301704   0.12552807 
   11600   -944.28943     48.39138   -895.89805    1733.2037   -10112.389     2.146246   0.12825847   0.13045716 
   11700   -941.21496     45.30686   -895.90811    1622.7274    488.34931    2.1661589   0.31564463   0.13531086 
   11800     -946.583    45.578122   -901.00488     1632.443    9665.5349    2.1999654  0.063506042   0.12568313 
