LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000941494 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1400   -951.04357            0    -911.9553   -116399.41    5330.9442 
    3200    1422.9331   -958.64668            0   -918.91812    1354.5717    4561.5445 
Loop time of 2.3221 on 1 procs for 3200 steps with 217 atoms

Performance: 357.193 ns/day, 0.067 hours/ns, 1378.060 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2661     | 2.2661     | 2.2661     |   0.0 | 97.59
Neigh   | 0.0083721  | 0.0083721  | 0.0083721  |   0.0 |  0.36
Comm    | 0.01353    | 0.01353    | 0.01353    |   0.0 |  0.58
Output  | 2.5526e-05 | 2.5526e-05 | 2.5526e-05 |   0.0 |  0.00
Modify  | 0.029332   | 0.029332   | 0.029332   |   0.0 |  1.26
Other   |            | 0.004761   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4248 ave 4248 max 4248 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8496 ave 8496 max 8496 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8496
Ave neighs/atom = 39.1521
Neighbor list builds = 14
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.665 | 9.665 | 9.665 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -958.64668    39.728565   -918.91812    1422.9331    1354.5717    2.2109415            0 1.0347594e-31 
   14500   -955.80229    40.600737   -915.20156    1454.1711    6467.2163    2.2159094  0.060892805  0.098942619 
   14600   -950.98448    42.536589   -908.44789    1523.5064     9656.107    2.2137158   0.16547481  0.096802032 
   14700   -953.14032    38.120601   -915.01972    1365.3417   -858.43987    2.1920569  0.021063566   0.10330275 
   14800   -954.23198    37.407943   -916.82404    1339.8168   -15690.272    2.1564854   0.30469558    0.1100527 
   14900   -953.65759     40.83811   -912.81948     1462.673   -7967.5131    2.1747725  0.025088597   0.10957073 
   15000   -954.02508    37.307024   -916.71805    1336.2023    11313.417    2.2252429    0.1879563  0.099562236 
   15100   -956.96812    38.068049   -918.90007    1363.4595    9261.0779    2.2250309   0.27276223  0.085634788 
   15200   -954.29642    39.653297   -914.64313    1420.2373   -1198.7712    2.1932248   0.26812014   0.11641398 
   15300    -951.9667    37.677213   -914.28949    1349.4611   -4512.4989    2.1816232   0.11320713   0.11144727 
   15400   -959.73061    38.003068   -921.72754    1361.1321   -633.49047    2.2051622   0.26681706  0.083908239 
   15500   -957.02466    41.978973   -915.04568    1503.5346    1935.6942    2.2045541   0.26715161  0.095571699 
   15600    -952.7854    38.701983   -914.08341    1386.1647      3757.03    2.2042168   0.26524084  0.089865009 
   15700    -955.4902    35.679387   -919.81081    1277.9063    -1082.023    2.2000667  0.071581345  0.091465876 
   15800   -957.50578    41.227778     -916.278    1476.6295   -4936.1777    2.1884629  0.090504192  0.094775166 
   15900    -952.6939    39.393742   -913.30016     1410.941    742.00226    2.1936813   0.19838287    0.1074418 
   16000   -955.82153    39.168205   -916.65333    1402.8631    2186.2901    2.2067432   0.17926074   0.10493912 
   16100   -958.51111    39.057808   -919.45331     1398.909    519.99649    2.2041922    0.3055142   0.10005333 
   16200   -952.48306    41.869414   -910.61364    1499.6106    -8113.946     2.171196   0.23035421   0.11600598 
   16300   -954.47288    39.813085   -914.65979    1425.9603   -2196.9378    2.1904534   0.23797471   0.10143629 
   16400   -955.25986     38.77183   -916.48803    1388.6664    10191.853    2.2211501  0.079856192  0.092516624 
   16500   -952.34375    39.979767   -912.36398    1431.9303    10106.471    2.2167639   0.17478188   0.10307034 
   16600    -952.2476    40.891766   -911.35583    1464.5948   -7878.2609    2.1729833  0.082131051   0.10837233 
   16700   -954.73559    37.328705   -917.40688    1336.9788   -12929.072    2.1653925  0.068019306  0.098300717 
   16800   -954.16291    39.505115    -914.6578    1414.9299   -3354.7043     2.189644  0.056053918  0.098083645 
   16900   -952.05981    43.494343   -908.56546    1557.8096    8621.0034    2.2091524   0.20836881   0.10117857 
   17000   -955.37464    38.476596   -916.89805    1378.0921    7660.7259    2.2182343   0.33564622  0.098334204 
