LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00101742 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1400   -951.04357            0    -911.9553   -116399.41    5330.9442 
    3200    1343.9124   -957.62046            0   -920.09817    12104.575    4518.4804 
Loop time of 2.31645 on 1 procs for 3200 steps with 217 atoms

Performance: 358.066 ns/day, 0.067 hours/ns, 1381.426 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2637     | 2.2637     | 2.2637     |   0.0 | 97.72
Neigh   | 0.004695   | 0.004695   | 0.004695   |   0.0 |  0.20
Comm    | 0.013521   | 0.013521   | 0.013521   |   0.0 |  0.58
Output  | 2.602e-05  | 2.602e-05  | 2.602e-05  |   0.0 |  0.00
Modify  | 0.029697   | 0.029697   | 0.029697   |   0.0 |  1.28
Other   |            | 0.004831   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4187 ave 4187 max 4187 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8374 ave 8374 max 8374 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8374
Ave neighs/atom = 38.5899
Neighbor list builds = 8
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.667 | 9.667 | 9.667 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -957.62046    37.522291   -920.09817    1343.9124    12104.575    2.2320132            0 5.4785574e-32 
    9400   -954.64383    38.719726    -915.9241    1386.8002   -4776.4235    2.1868529  0.016313084  0.097093354 
    9500     -955.203    42.127027   -913.07597    1508.8373   -2850.9588    2.1912011  0.092923424  0.094796213 
    9600   -957.43851    37.483181   -919.95533    1342.5116    3243.5732    2.2143788    0.0577234  0.088600633 
    9700   -957.47642    40.316008   -917.16041    1443.9732    -646.1597    2.2034695  0.063579511  0.082714599 
    9800   -952.59952    39.226527   -913.37299    1404.9519   -2312.9627     2.187573  0.038835825   0.10697793 
    9900   -955.25049    37.051648   -918.19884    1327.0557   -2735.7617    2.1922678   0.11379487  0.094873726 
   10000   -956.78897    37.962728   -918.82624    1359.6872   -216.56377    2.2037798  0.039638497  0.089363881 
   10100     -951.692     39.47734   -912.21466    1413.9351    3006.1805    2.2009446  0.042129751  0.097800123 
   10200   -954.72417    38.412324   -916.31185    1375.7901    1204.0112    2.2017996  0.081915796   0.09440812 
   10300   -954.76154    35.668415   -919.09312    1277.5133    -4254.413    2.1923824  0.024199887   0.10437456 
   10400   -951.22108    40.632354   -910.58873    1455.3036   -6746.9935    2.1726236   0.14313005   0.10187594 
   10500    -957.8494    42.887302    -914.9621    1536.0676    2178.9471    2.2078478  0.032922851  0.088307936 
   10600   -954.61489    37.993039   -916.62185    1360.7729    12571.735    2.2265127 0.0075187299  0.094575509 
   10700   -948.36312    38.606208   -909.75692    1382.7344      2767.98     2.192552  0.091318772   0.10570496 
   10800   -953.56847    39.737286   -913.83118    1423.2455   -9888.7983    2.1703011  0.019670873   0.10252262 
   10900   -955.70617    38.284273    -917.4219    1371.2038   -8332.1837    2.1784271   0.04898122  0.091446756 
   11000   -955.02225    42.901614   -912.12063    1536.5802    2824.6088    2.2067568  0.049089562  0.098426294 
   11100   -955.72191    43.601783   -912.12012    1561.6578    8761.0089    2.2200815  0.013308358  0.095551247 
   11200   -955.71214    37.736666   -917.97547    1351.5905    2304.8601    2.2052007   0.43110257  0.098436607 
   11300   -952.74204    38.000875   -914.74117    1361.0535   -5883.1805    2.1790969   0.20893011   0.10558152 
   11400   -952.28673    40.050689   -912.23604    1434.4705   -3962.4003    2.1813958  0.033961215   0.10441238 
   11500   -961.36234     40.78874    -920.5736    1460.9047    1470.2796    2.2160206 0.0045591962  0.092617437 
   11600   -955.32699    39.889645   -915.43735    1428.7024    2753.1073    2.2040631   0.23599557   0.10316636 
   11700   -952.18889    38.633686    -913.5552    1383.7185    676.18173    2.1942155  0.013353084   0.11665954 
   11800   -959.18977    38.512193   -920.67758    1379.3671   -2661.3376    2.2014884  0.089191234   0.10592176 
   11900   -955.12361    39.179836   -915.94377    1403.2796   -643.52435    2.1964426  0.019339467   0.10393663 
