LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00105405 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1675   -951.04357            0   -904.27725   -114861.02    5330.9442 
    3200    1652.3113    -944.0942            0   -897.96135   -7226.3961     4690.424 
Loop time of 2.28935 on 1 procs for 3200 steps with 217 atoms

Performance: 362.304 ns/day, 0.066 hours/ns, 1397.778 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1848     | 2.1848     | 2.1848     |   0.0 | 95.43
Neigh   | 0.054595   | 0.054595   | 0.054595   |   0.0 |  2.38
Comm    | 0.015114   | 0.015114   | 0.015114   |   0.0 |  0.66
Output  | 2.5152e-05 | 2.5152e-05 | 2.5152e-05 |   0.0 |  0.00
Modify  | 0.029742   | 0.029742   | 0.029742   |   0.0 |  1.30
Other   |            | 0.005038   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4219 ave 4219 max 4219 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8438 ave 8438 max 8438 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8438
Ave neighs/atom = 38.8848
Neighbor list builds = 92
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.662 | 9.662 | 9.662 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200    -944.0942    46.132848   -897.96135    1652.3113   -7226.3961    2.1501911            0 4.601546e-32 
   12400   -947.93004    48.135476   -899.79457    1724.0382   -3962.7172    2.1697809    1.0382166   0.15382449 
   12500   -944.17999    44.300706   -899.87928    1586.6906   -2654.1974    2.1674824   0.39779601   0.14966748 
   12600   -938.32988    47.312695   -891.01718    1694.5692    4674.8834    2.1692814    1.1004269   0.16244142 
   12700   -945.04741    45.672704   -899.37471    1635.8306    5888.2721    2.1894345   0.64963044   0.14909391 
   12800   -943.12059    42.646191    -900.4744    1527.4319   -4693.4037    2.1617885   0.95907291   0.13912016 
   12900   -938.12254    44.792228   -893.33031    1604.2952    -1891.594    2.1547216   0.84847228   0.15342504 
   13000   -944.61697    43.749744   -900.86722    1566.9572    13156.385    2.2110128    1.2237223   0.15764563 
   13100   -945.47486    44.380713   -901.09415    1589.5562    413.89673    2.1791289    1.0623624   0.14951301 
   13200   -942.22418    45.584523   -896.63965    1632.6723   -14415.737    2.1331087   0.62009807   0.15539371 
   13300   -944.27215    50.342769   -893.92938    1803.0954    3754.4307    2.1799625   0.64145216   0.15567032 
   13400   -950.16308    47.387141   -902.77594    1697.2355    15331.586    2.2219355     0.789831   0.16038271 
   13500   -945.00453    47.916819   -897.08771    1716.2067   -8817.1529    2.1516585   0.93939856   0.15834261 
   13600   -940.87408    44.904902   -895.96918    1608.3307   -5663.1386    2.1505051   0.54455325   0.16165287 
   13700   -945.93284    44.290159   -901.64268    1586.3129    7422.5547    2.1955659   0.77886414   0.14451879 
   13800   -947.80673    46.984794   -900.82193    1682.8249    5438.6105    2.1893145    1.0211781    0.1406481 
   13900   -943.96461    49.572782   -894.39183    1775.5173   -7991.9587    2.1475633    1.0591551   0.14210296 
   14000   -946.82158    46.657211   -900.16437    1671.0921   -4333.6819    2.1693335    1.3396945   0.14007611 
   14100   -947.32377    46.514712   -900.80906    1665.9883    8172.3977    2.1964407    1.2176361   0.16685642 
   14200   -941.64065    49.869971   -891.77068    1786.1615   -985.14072    2.1571732   0.52216656   0.16985244 
   14300   -944.84662    45.195206   -899.65141    1618.7284   -6333.7564    2.1592091   0.74772303   0.16728563 
   14400   -946.52181     47.09078   -899.43103     1686.621    2558.1745    2.1793728    1.0371813   0.15929794 
   14500   -943.89598    53.242823   -890.65316    1906.9648    2545.3512    2.1722374    1.3124482   0.15461212 
   14600   -948.28684    49.657991   -898.62884    1778.5692   -5937.9674    2.1663996    1.3781099   0.13022354 
   14700   -942.00756    41.548653   -900.45891    1488.1221   -4204.2144    2.1608664    1.1863604   0.14224468 
   14800    -942.0544    48.881911   -893.17249    1750.7728    5378.3073    2.1836373    1.1996564   0.14986166 
   14900   -946.97693    47.529303   -899.44763    1702.3273    7398.9651    2.1935951    1.2268409   0.13803939 
