LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00110788 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1600   -951.04357            0   -906.37126   -115280.58    5330.9442 
    3200    1641.3839   -946.97127            0   -901.14351    8529.3986    4590.2931 
Loop time of 2.29485 on 1 procs for 3200 steps with 217 atoms

Performance: 361.436 ns/day, 0.066 hours/ns, 1394.429 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.209      | 2.209      | 2.209      |   0.0 | 96.26
Neigh   | 0.036757   | 0.036757   | 0.036757   |   0.0 |  1.60
Comm    | 0.014479   | 0.014479   | 0.014479   |   0.0 |  0.63
Output  | 2.771e-05  | 2.771e-05  | 2.771e-05  |   0.0 |  0.00
Modify  | 0.029596   | 0.029596   | 0.029596   |   0.0 |  1.29
Other   |            | 0.004992   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4223 ave 4223 max 4223 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8446 ave 8446 max 8446 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8446
Ave neighs/atom = 38.9217
Neighbor list builds = 62
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.665 | 9.665 | 9.665 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -946.97127    45.827752   -901.14351    1641.3839    8529.3986    2.1970946            0 7.890963e-32 
    9400   -949.40991    46.237556   -903.17236    1656.0616    7634.9557    2.1998596   0.28387325    0.1248024 
    9500    -945.4631    46.899179   -898.56392    1679.7585   -11446.939     2.149998  0.056772695   0.13555591 
    9600   -945.62291    43.034603   -902.58831    1541.3434   -3871.8288    2.1633206  0.012859172   0.12214527 
    9700   -947.95871    42.314007   -905.64471    1515.5343    6631.6867    2.1954152    0.1327014   0.11657393 
    9800   -944.30398    42.383225   -901.92076    1518.0134    6347.2907    2.1886982  0.072130712   0.12837134 
    9900   -947.33966    46.108927   -901.23073    1651.4546    -6083.802    2.1621385   0.08849161   0.13140636 
   10000   -953.08721    42.541581   -910.54563    1523.6852   -1168.8832    2.1862472  0.041516674   0.10772022 
   10100   -947.08503    43.167863   -903.91717    1546.1163    4174.1238    2.1848258   0.07292673   0.11578035 
   10200   -947.80497    46.497388   -901.30758    1665.3678    -1285.507    2.1740274  0.038910529   0.12062764 
   10300   -948.92619     42.17057   -906.75562    1510.3969   -3815.6268    2.1705493  0.036122355   0.11157811 
   10400   -948.78795    40.854801   -907.93315    1463.2708    1198.6541    2.1849281  0.017233571   0.11560712 
   10500    -945.4356    44.629739   -900.80586    1598.4754    6523.9951     2.190778   0.13792271   0.12601943 
   10600   -947.43162    43.943146   -903.48847    1573.8841    -365.6505    2.1723324   0.20987351   0.11157584 
   10700   -950.26336    39.753446   -910.50991    1423.8243   -9585.6197    2.1626256   0.05623848     0.109624 
   10800   -948.52874    44.848145    -903.6806    1606.2979     2989.702    2.1848549  0.015753883   0.10371536 
   10900    -949.5308    49.214784   -900.31602    1762.6951    14183.836     2.214501   0.08281252   0.10679326 
   11000   -948.69763    43.093193   -905.60444    1543.4419   -7761.8414    2.1618377   0.13282707   0.11512292 
   11100   -942.95262     43.22151   -899.73111    1548.0377   -9653.6395    2.1390832   0.16131184   0.11286459 
   11200   -945.52549    48.195405   -897.33009    1726.1846    4953.6189     2.180133   0.33448315   0.11592019 
   11300   -948.66546    45.699023   -902.96643    1636.7733    5973.2937    2.1935443   0.06618987   0.10874496 
   11400   -950.02621    45.077065   -904.94914     1614.497   -4689.1069    2.1680411   0.23268849   0.10401316 
   11500   -944.58557    48.777583   -895.80799    1747.0361   -6159.1074    2.1507955  0.099900918    0.1156688 
   11600   -947.83676    46.076828   -901.75993    1650.3049    5161.8217    2.1872173  0.013223215   0.11232633 
   11700   -947.53655    43.131664   -904.40488    1544.8198    2122.9005     2.182895   0.07743089  0.098084225 
   11800   -949.08841    47.967244   -901.12117    1718.0127    -6112.525    2.1627064  0.087711036   0.10155612 
   11900   -946.26885    51.452309   -894.81654    1842.8351   -4215.4162    2.1571584  0.080993536   0.10697021 
   12000   -947.77111    42.887484   -904.88363    1536.0742    9310.9806    2.2019341   0.11287387   0.10140469 
   12100   -945.65782    42.293849   -903.36397    1514.8123    1323.3805    2.1772327   0.20454524   0.11277129 
   12200   -946.84313    46.193601   -900.64953    1654.4873   -9983.3649    2.1491996   0.28019944   0.11786708 
   12300    -951.9904    42.987056   -909.00334    1539.6404   -2399.8054    2.1832283   0.19475023   0.10302508 
   12400   -948.32323    41.472749   -906.85048    1485.4035    6994.5301    2.1990645   0.11400723   0.10740969 
   12500   -947.92542    46.039061   -901.88636    1648.9522   -1555.2834    2.1771594   0.27719696   0.12037412 
   12600   -944.81599    42.910317   -901.90568    1536.8919   -10201.089    2.1506755  0.046048395   0.11629871 
   12700    -953.1663    42.122089   -911.04421    1508.6605     1541.723    2.1973974  0.023438661   0.11711402 
   12800   -949.86976    46.558048   -903.31171    1667.5404    16326.824    2.2239612  0.097354188   0.10429648 
   12900   -946.91664    45.170525   -901.74611    1617.8444   -5185.8056    2.1623915  0.081635562   0.11976481 
   13000    -947.8761    43.596877   -904.27922     1561.482   -17717.727    2.1349817  0.012466697   0.11418415 
   13100   -952.58666    44.024343   -908.56231    1576.7923    5417.2479    2.2032571  0.023132572   0.10523846 
   13200   -949.42664    50.674099   -898.75254    1814.9625     7443.156    2.1965076  0.040024127   0.11887267 
   13300   -946.43815    44.518288   -901.91987    1594.4836     -3253.42    2.1673624   0.16322492   0.10605606 
   13400   -950.49662     44.51719   -905.97943    1594.4443   -7050.1431    2.1657415   0.17103157    0.1159308 
   13500   -946.36274    43.519661   -902.84308    1558.7164    6707.2154    2.1917299  0.011965151   0.10125378 
   13600   -947.28201    49.284743   -897.99727    1765.2008    1898.3024    2.1803147  0.030610437   0.12045846 
   13700    -945.2853    40.988926   -904.29637    1468.0747   -3440.2125    2.1670814   0.18473038   0.11528452 
   13800   -943.84126    40.040022   -903.80124    1434.0884   -1360.9009    2.1698504   0.23727292   0.10975635 
   13900   -946.42756    51.318894   -895.10867    1838.0567    2569.2446    2.1769352   0.09637801   0.10728063 
   14000   -945.21164    42.129598   -903.08205    1508.9294    6923.6038    2.1911558   0.13929892   0.11778285 
   14100   -945.05426     40.28382   -904.77044    1442.8203   -4076.9704    2.1642048   0.16984615   0.12441988 
   14200   -944.38438    46.935244   -897.44913    1681.0502   -4720.9928     2.154595  0.087429912   0.11715028 
   14300   -951.73032    47.268673   -904.46164    1692.9924    6296.7109    2.1995873  0.037399197   0.11558252 
   14400    -951.9397    46.647155   -905.29255    1670.7319    1487.7152    2.1878076  0.020462732   0.10988675 
   14500   -945.38856     44.13593   -901.25263     1580.789   -8932.1944    2.1469909 0.0026911832   0.12881692 
   14600   -943.29806    44.246376   -899.05168    1584.7447   -2433.0616    2.1606911  0.041419591   0.12348756 
   14700   -952.32517    45.370401   -906.95477    1625.0032    18460.182    2.2324436   0.09741521   0.11017351 
   14800   -945.41377    44.420427   -900.99335    1590.9786    3156.1818    2.1791363    0.1139973   0.10937713 
   14900   -948.18362    46.575118    -901.6085    1668.1518   -17380.964    2.1323099  0.066102875   0.11869676 
   15000   -949.87717    43.015285   -906.86188    1540.6515   -1352.4734    2.1819716  0.042950177   0.11470927 
   15100   -947.53724    41.168526   -906.36872    1474.5073    14275.495    2.2156793   0.13997203   0.10872829 
   15200   -946.82585     46.86252   -899.96333    1678.4455   -2809.3449    2.1672713   0.12668028   0.11752679 
   15300   -947.12243    42.027178   -905.09526    1505.2611   -6948.9438    2.1617787  0.060468696   0.11392138 
   15400   -950.72329    45.190492   -905.53279    1618.5596    1831.3404    2.1869959  0.020027366   0.10650987 
   15500    -944.1404    46.923867   -897.21653    1680.6428    3904.3615    2.1801235   0.05964927   0.12043553 
   15600   -950.20893    46.224288   -903.98464    1655.5863    -3508.858    2.1752529  0.087529514   0.12014551 
   15700   -948.15661    43.002129   -905.15448    1540.1803    -4297.211    2.1713109   0.18379699   0.10763184 
   15800   -942.93138    46.716512   -896.21487     1673.216    1329.4029    2.1708149  0.033041037   0.12083216 
   15900    -950.7007    47.418755   -903.28195    1698.3679    5645.6581     2.197128   0.22381498   0.11972481 
   16000   -948.80018    43.692356   -905.10783    1564.9018   -2174.3644    2.1730298   0.27305319   0.10443195 
   16100    -945.4921     47.33568   -898.15642    1695.3924   -8079.8745    2.1524399  0.020598804   0.12555967 
   16200   -948.88825    44.191213   -904.69703     1582.769    4953.3446    2.1953734   0.13396445   0.10513495 
   16300   -948.71482    43.293865   -905.42095    1550.6293    5488.5805    2.1951609  0.062035304   0.10344843 
   16400   -946.34501    45.584548   -900.76046    1632.6732   -7004.7254    2.1581461  0.012961898   0.11114788 
   16500   -947.75841    47.244415     -900.514    1692.1236    -10104.16     2.153609   0.23858318   0.11771427 
   16600   -954.72657    47.330507   -907.39606    1695.2071    10827.808    2.2205882   0.19313083   0.10953957 
   16700   -949.51269    49.617452   -899.89524    1777.1172    7673.9372    2.1990281   0.29296988   0.11190287 
   16800   -946.74858    44.715736   -902.03285    1601.5555   -12808.983    2.1445062   0.22485556   0.11383435 
   16900   -949.27231    41.080316   -908.19199    1471.3479   -7901.0443    2.1681736  0.093730998   0.11973639 
   17000   -947.39513    44.178749   -903.21638    1582.3226    11512.274    2.2095924  0.074514669   0.12012211 
   17100   -949.82521    50.083169   -899.74204    1793.7975    2254.6677    2.1839856  0.084641924   0.11652805 
   17200   -950.30104    43.731888   -906.56915    1566.3176   -6075.2897    2.1666021   0.19262829   0.10769833 
   17300   -945.90036    42.713237   -903.18712    1529.8333   -109.20992    2.1729746 0.0075140083   0.12193256 
   17400   -944.36928    46.277163   -898.09212    1657.4801    6551.8488    2.1837615   0.13607547   0.11548182 
   17500   -952.07074     46.59405   -905.47669    1668.8299   -1019.7089    2.1822232   0.17763154  0.098410777 
   17600   -946.13062    43.226455   -902.90416    1548.2148   -3161.1924    2.1646581   0.15399444  0.099332576 
   17700   -944.54144     47.32708   -897.21436    1695.0844   -94.589237    2.1653068   0.02042293   0.10991814 
   17800   -951.94546    46.482214   -905.46325    1664.8243    2879.0508    2.1951791   0.16270957   0.11851999 
   17900   -945.33164    42.257032   -903.07461    1513.4936    3085.4865     2.180394   0.10312721   0.11662078 
   18000   -946.02084    48.209298   -897.81154    1726.6822   -9390.2968    2.1478981  0.035690653   0.11680747 
   18100   -949.49058    42.199752   -907.29082    1511.4421    2244.4799    2.1899542  0.030367264   0.11026281 
   18200   -948.14768    44.459928   -903.68775    1592.3934    8893.2184    2.2027276    0.0203547     0.120118 
   18300   -946.34673    46.502494   -899.84424    1665.5507   -7227.9728    2.1600476   0.20061401   0.12066657 
   18400   -947.82614    43.293271   -904.53287     1550.608   -15705.194    2.1411007  0.070715133   0.12252731 
   18500   -951.35184    44.965887   -906.38595     1610.515    6509.1458    2.2024387  0.053222245   0.10889269 
   18600   -947.50469    48.883722   -898.62097    1750.8376    11896.672    2.2114414   0.58401128   0.11925749 
   18700   -947.56767    43.973244   -903.59443    1574.9621   -7446.6921    2.1567769  0.017466517    0.1215523 
   18800    -951.2098    42.935204    -908.2746    1537.7833   -10595.764    2.1596864  0.056159542   0.11093648 
   18900   -946.72053    46.670793   -900.04973    1671.5786     5314.544    2.1881227    0.1754346   0.12250317 
   19000   -947.06459     46.41264   -900.65195    1662.3324    6939.5436    2.1920782   0.10794231   0.11612746 
   19100   -948.65547    41.795351   -906.86011    1496.9579    -5419.341    2.1700305 0.0097505933   0.11476159 
   19200    -943.4623    43.668569   -899.79374    1564.0498   -2997.6954     2.161237  0.018228129    0.1164969 
   19300   -944.58194    45.263311   -899.31863    1621.1676    5028.2387     2.184524   0.24852068   0.11973663 
   19400   -947.43356    42.220501   -905.21306    1512.1852    4784.4315    2.1921749  0.045147871   0.11761673 
   19500   -946.48461    45.209916    -901.2747    1619.2552    -4758.796    2.1666122   0.11762431   0.11720396 
   19600   -940.11377    42.158499   -897.95528    1509.9646    -3950.152    2.1565335   0.14671348   0.13462689 
   19700   -949.57484    43.736951   -905.83789     1566.499     5340.569    2.1954979  0.048650409   0.10392229 
   19800    -949.4686    47.721116   -901.74749    1709.1973     3859.977    2.1896488  0.092815761   0.11366588 
   19900   -944.27392    44.887077   -899.38685    1607.6923   -8144.4193    2.1529743  0.047021928   0.12240806 
   20000   -950.44298    41.835495   -908.60748    1498.3957   -3444.8785    2.1792031  0.044156263   0.10697461 
   20100   -946.66829    44.126533   -902.54176    1580.4524    8314.7854    2.1989385   0.14370998   0.12068883 
   20200   -944.80551    44.601928   -900.20359    1597.4793    4725.4519    2.1841931   0.10717049   0.12162566 
   20300   -949.61804    41.395496   -908.22254    1482.6366   -11584.235    2.1549592   0.18745571   0.11050417 
   20400   -945.67856    40.935853   -904.74271    1466.1738   -5339.5671    2.1660521  0.035488237   0.11665353 
   20500   -945.39649    47.174033   -898.22245    1689.6028    15749.261    2.2158266   0.10180852   0.11977952 
   20600   -946.77128     42.26313   -904.50815    1513.7121    5969.5119    2.1927767   0.18730418   0.12528156 
   20700   -948.16961    41.889378   -906.28024    1500.3256    -14242.69    2.1478196    0.1256642   0.12088639 
   20800   -940.25908    42.864495   -897.39459    1535.2508    806.40767    2.1637888   0.25994429   0.12683714 
   20900   -945.30059    44.228732   -901.07185    1584.1128    10192.564    2.2035854   0.51476384   0.11589305 
   21000   -945.20059    39.621367   -905.57922    1419.0937    2151.8941    2.1819071  0.082426328   0.12425101 
   21100   -946.29142    49.580263   -896.71116    1775.7852   -11380.951    2.1464694   0.61720551    0.1284628 
   21200   -951.17105    49.737384   -901.43366    1781.4127   -1319.0463    2.1775618   0.20533298   0.11794689 
   21300   -948.02406    43.917236   -904.10682    1572.9561    5836.2345      2.19399   0.17612388   0.12044209 
   21400   -945.06895    45.992924   -899.07602    1647.2998    -1140.545    2.1700471  0.020106851    0.1119645 
   21500   -944.41957    46.320215   -898.09936    1659.0221   -7766.2597    2.1527818   0.14320907    0.1242433 
   21600    -950.2021    44.792385   -905.40972    1604.3008    1911.5529    2.1884225   0.20853592   0.11224839 
   21700   -946.49796    45.326124   -901.17184    1623.4174    8399.2562    2.1982364   0.02300394   0.10717765 
   21800   -945.26478    46.075589   -899.18919    1650.2605    -4721.801    2.1620163   0.19718952   0.12024203 
   21900   -952.06425    43.347475   -908.71678    1552.5493    -6463.861    2.1707377  0.015348004   0.10758353 
   22000   -949.62049    45.438735   -904.18175    1627.4507    2666.6442    2.1858616   0.06835275    0.1001148 
   22100   -948.52014    48.374972   -900.14516    1732.6161     4120.731    2.1918434  0.071768056   0.12333738 
