LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00120599 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1425   -951.04357            0   -911.25729   -116259.55    5330.9442 
    3200    1395.3711   -952.99103            0     -914.032    9067.5284    4559.6238 
Loop time of 2.33891 on 1 procs for 3200 steps with 217 atoms

Performance: 354.626 ns/day, 0.068 hours/ns, 1368.157 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2763     | 2.2763     | 2.2763     |   0.0 | 97.32
Neigh   | 0.012126   | 0.012126   | 0.012126   |   0.0 |  0.52
Comm    | 0.014      | 0.014      | 0.014      |   0.0 |  0.60
Output  | 2.5632e-05 | 2.5632e-05 | 2.5632e-05 |   0.0 |  0.00
Modify  | 0.031182   | 0.031182   | 0.031182   |   0.0 |  1.33
Other   |            | 0.005258   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4176 ave 4176 max 4176 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8352 ave 8352 max 8352 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8352
Ave neighs/atom = 38.4885
Neighbor list builds = 20
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.665 | 9.665 | 9.665 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -952.99103    38.959028     -914.032    1395.3711    9067.5284    2.2118728            0 5.1290368e-32 
   12800   -955.91227    41.851768    -914.0605    1498.9785   -363.57564    2.1927215  0.077276446   0.09590606 
   12900   -954.10593     41.93839   -912.16754    1502.0811     3050.064    2.1987525  0.048085631  0.092303177 
   13000   -955.76929    36.389381   -919.37991    1303.3357    2559.8507    2.2064298  0.082673147  0.093291784 
   13100   -955.88407     39.12883   -916.75524    1401.4528   -2744.9609     2.190848   0.18927314  0.099667962 
   13200   -950.02932    37.470257   -912.55906    1342.0487   -31.493795    2.1879872  0.059239853  0.093983646 
   13300   -953.19929    38.318882   -914.88041    1372.4434    2148.3198    2.1988408 0.0090319715  0.096355006 
   13400   -960.11746    39.765506   -920.35195    1424.2562    3101.5546    2.2143651  0.098886002   0.10259163 
   13500   -949.58475    37.671157   -911.91359    1349.2442   -879.38543     2.185459   0.20784361   0.12172959 
   13600   -950.32805    36.808591   -913.51946    1318.3503   -4463.5403    2.1804957   0.12009734   0.13276513 
   13700   -955.45349    38.369828   -917.08366    1374.2681   -452.97347    2.1977281   0.38630812   0.11293412 
   13800     -954.556    35.736294   -918.81971    1279.9445    12769.593    2.2308894  0.020244949   0.10645782 
   13900   -951.62895    40.677721   -910.95123    1456.9284    2935.6691    2.1960292   0.19698988   0.10967279 
   14000   -952.75997    39.136735   -913.62323    1401.7359   -13200.771    2.1578763  0.084645554  0.089029359 
   14100   -951.71788    36.312327   -915.40555    1300.5759   -7114.6621    2.1730652  0.018279882   0.10232201 
   14200   -960.43474    39.617512   -920.81723    1418.9556     6289.428    2.2229525   0.15703896  0.087189595 
   14300   -959.82997    40.466278   -919.36369    1449.3553    11064.125    2.2330771  0.012574598  0.073084002 
   14400   -953.66831     39.05403   -914.61428    1398.7737   -1123.7413    2.1926825   0.08933417  0.096924408 
   14500   -954.22857    40.363666   -913.86491    1445.6801    -10871.01     2.167182  0.049366948  0.091594037 
   14600   -952.18427    40.826111   -911.35816    1462.2432   -3924.4926    2.1793462   0.16054666   0.10505688 
   14700   -952.43644    41.803953   -910.63249     1497.266    5097.3987    2.2028403   0.30552526    0.1252155 
   14800   -958.27366    39.953711   -918.31995     1430.997    6914.6505    2.2218884  0.023009932   0.10582043 
   14900   -953.88635    38.579399   -915.30695    1381.7742    431.46224    2.1945367  0.026828035   0.10360839 
   15000   -953.95045    40.698314   -913.25214     1457.666   -8756.2943    2.1719213   0.21025597  0.097997164 
   15100   -952.99667     42.16618   -910.83049    1510.2396   -4454.0876    2.1791117  0.020789325  0.097450542 
   15200   -957.96004    38.312436    -919.6476    1372.2125    4706.3439    2.2156831  0.042706705  0.095995004 
   15300   -955.25645    38.367496   -916.88895    1374.1846    1976.4496    2.2036417  0.050676294   0.10031331 
   15400   -950.40374    36.979855   -913.42388    1324.4843   -1446.3537    2.1846884   0.15733866   0.10636283 
   15500   -951.21876    39.407274   -911.81149    1411.4257    -3796.762    2.1793867   0.18953717  0.096029949 
   15600   -958.80961    38.359815   -920.44979    1373.9095    1578.5107    2.2092893  0.010681933  0.087767993 
   15700   -952.40548    36.829861   -915.57562    1319.1121    3159.8593    2.2015995  0.017356185   0.11043323 
   15800   -952.08632    39.593635   -912.49268    1418.1004   -357.73678    2.1896199   0.12888201   0.11063872 
   15900   -956.29665    40.273199   -916.02345    1442.4399   -4590.7997    2.1867274  0.060188512   0.11144159 
   16000   -954.40115    34.655123   -919.74602    1241.2208    14.643071    2.1982946   0.12601702   0.10325927 
   16100   -953.46163    41.136373   -912.32526    1473.3557    3883.3427    2.2035565  0.070517403  0.097700482 
   16200   -952.30336    39.081562    -913.2218    1399.7598    5878.9451    2.2039209    0.1720634    0.1078052 
   16300   -955.29021    36.270968   -919.01924    1299.0945   -3950.5289    2.1893077   0.10604866   0.10087439 
   16400   -953.25026    39.836013   -913.41424    1426.7815   -6811.5348    2.1755714   0.17726563   0.10431613 
   16500   -952.96235    41.147244    -911.8151    1473.7451    3370.3244    2.2017926  0.065777366  0.097694619 
   16600   -953.62379    39.003134   -914.62066    1396.9508    7959.6587     2.214973   0.03678611  0.096267413 
   16700   -953.82335    36.087764   -917.73559    1292.5328    1737.6889    2.1957155  0.020680328   0.10307227 
   16800    -947.6702    39.262642   -908.40756    1406.2455   -7841.6737    2.1609449  0.047232584   0.11537495 
   16900   -953.86034    41.542846    -912.3175    1487.9141   -1149.9495    2.1893155  0.022418901   0.10398883 
   17000   -954.00142    39.434567   -914.56685    1412.4032    7595.2459    2.2147574  0.094554553   0.10286706 
   17100   -952.34547    36.906762   -915.43871    1321.8664    8270.0058    2.2110812   0.05795105   0.10269195 
   17200   -949.40241    42.643459   -906.75895    1527.3341   -9559.1577    2.1637823  0.050052071   0.11457246 
   17300   -951.52562    38.010292   -913.51533    1361.3908   -6467.7911    2.1769509  0.050287236   0.10576915 
