    9800   -952.30514     42.12681   -910.17833    1508.8296   -7698.7473    2.1723682    5.7879103   0.14603196 
    9900   -955.46763    39.367487   -916.10014    1410.0006   -7619.1554     2.178279     6.563845   0.12701197 
   10000   -955.31296      41.1916   -914.12136    1475.3337    3329.1844    2.2086647    5.3777451   0.12827231 
   10100   -949.03848    40.399743   -908.63873    1446.9723    10385.662    2.2109245    6.6772287   0.13457155 
   10200   -951.92247      42.8517   -909.07077    1534.7925   -3593.1723    2.1808906     5.639467    0.1229052 
   10300   -951.62708    43.306724   -908.32035    1551.0898   -9941.1628    2.1601374    6.0090629   0.13946634 
   10400   -955.68267    37.580943   -918.10173    1346.0131    2581.7574    2.2075398    5.5154171   0.12725221 
   10500   -952.56697    39.035623   -913.53135    1398.1145    7784.8491     2.208728    4.8217221   0.13429097 
   10600   -952.80196    43.156428   -909.64553    1545.7067   -540.93915    2.1871134    4.8865895   0.13363455 
   10700   -949.71748    41.907423   -907.81006    1500.9719   -4229.5137    2.1722983     6.018859   0.12479421 
   10800   -952.53062    39.026524    -913.5041    1397.7886   -721.04737    2.1899359    6.2427991   0.13930955 
   10900   -953.66188    39.866488   -913.79539     1427.873    4818.5999    2.2085384    7.0863805   0.12323204 
   11000   -951.29428    43.243663   -908.05062    1548.8312    3582.1168    2.1990162    5.7785089   0.14584829 
   11100   -952.75427    43.391371    -909.3629    1554.1216   -6773.3148    2.1715708    7.6547783   0.14125232 
   11200   -956.44741    39.507644   -916.93976    1415.0205   -9394.8785    2.1791174    5.8683792   0.11932812 
   11300   -954.16178    43.733843   -910.42794    1566.3877    6408.3486    2.2080389    5.8491127   0.13984816 
   11400   -954.32391    47.494808    -906.8291    1701.0918    12628.781    2.2275066    5.6847904    0.1351687 
   11500   -950.93381    39.340818   -911.59299    1409.0454   -4857.3323    2.1786219    4.7729376   0.14160547 
   11600   -948.78316    34.188675   -914.59449    1224.5144   -12424.158     2.155515    4.9346976   0.14538317 
   11700   -950.19659    44.030699   -906.16589      1577.02    493.34186    2.1863186    6.7239631   0.14089014 
   11800   -950.69667    43.605589   -907.09108     1561.794    13016.547    2.2196073    5.9296395   0.12867348 
   11900   -951.85656    41.002564     -910.854    1468.5632    1721.1113    2.1983681    6.5800446   0.14354806 
   12000   -949.80732    43.907101   -905.90022    1572.5931   -6927.7784    2.1668432    6.4782204    0.1483318 
   12100   -948.69259    44.658286   -904.03431    1599.4979   -4459.9134    2.1704484    5.2328838   0.13516468 
   12200    -953.0859    43.337509   -909.74839    1552.1924     2497.372    2.1988579    5.7958231   0.14220956 
   12300   -952.35594    42.505859   -909.85008    1522.4057    3890.5029    2.2018695    4.3497307   0.13224394 
   12400   -946.17402    44.874356   -901.29967    1607.2367   -3064.7164    2.1677837    4.3514234   0.15212111 
   12500   -949.80687    40.994193   -908.81268    1468.2633    -3827.471    2.1787515    5.4283412   0.14469954 
   12600   -953.35309    43.084212   -910.26888    1543.1202   -1521.2017    2.1885717    6.1653575   0.12852666 
   12700   -952.23217    46.364327   -905.86785     1660.602    4266.0099    2.1977692    5.1542189   0.12437042 
   12800   -947.36225    44.875099   -902.48715    1607.2633    1108.3841    2.1817974    5.4759918    0.1248683 
   12900   -952.57097    41.078278   -911.49269    1471.2749   -3804.8889    2.1829127    6.2049801   0.12741725 
   13000   -950.62155    40.869922   -909.75163    1463.8124    -1609.646    2.1847706    4.2705895   0.14401309 
   13100   -952.45653    46.403083   -906.05345    1661.9901    4836.3314     2.200883    6.3944323    0.1543553 
   13200   -953.67472     41.82134   -911.85338    1497.8888    4399.5026    2.2020927    4.8088751   0.12999491 
   13300   -955.13875    41.838316   -913.30043    1498.4968    -11768.96    2.1690929    4.7955905   0.13031974 
   13400   -949.24318    40.092996   -909.15019    1435.9857   -4628.1518    2.1735394    4.9265382   0.12980581 
   13500   -952.54673    46.523836   -906.02289    1666.3151    7799.9483    2.2106164    4.9853339   0.13251142 
   13600   -955.33165    40.975219   -914.35643    1467.5837    8469.7817    2.2199129    6.0372714   0.13316558 
   13700   -951.86847    41.030716   -910.83776    1469.5715   -9930.1013    2.1698465    6.9932431   0.13465686 
   13800   -951.61268    43.878485    -907.7342    1571.5682   -8637.1839    2.1656693    4.7540885   0.13007907 
   13900   -952.59771    42.104911    -910.4928    1508.0452    3191.8393    2.2007919    6.8109788   0.13872082 
   14000   -955.85938     40.52959   -915.32979    1451.6229    7938.4255    2.2208703    4.4175358   0.13751203 
   14100   -948.51556    42.040839   -906.47472    1505.7504   -1873.2649    2.1774489    4.9669012   0.14958293 
   14200   -948.10727    39.109548   -908.99772    1400.7622   -3213.3321    2.1759963     5.999294   0.14033963 
   14300   -954.58548    41.891387    -912.6941    1500.3976    710.00193    2.1982857    5.5507597   0.14133851 
   14400   -951.04691    44.458001   -906.58891    1592.3244    5455.1434    2.2033529    4.7756251   0.14502723 
   14500   -952.96345    47.049976   -905.91347    1685.1595   -1585.8532    2.1880767    6.0391009    0.1364176 
   14600   -955.40231    44.808532   -910.59378    1604.8791   -9036.6929    2.1752764    6.4054545   0.13335193 
   14700    -951.2554    42.052702    -909.2027    1506.1753   -2915.9689    2.1845829    6.4135861   0.13981931 
   14800   -945.93944    44.113295   -901.82615    1579.9782    5293.1553      2.18926    6.2666831   0.14147645 
   14900    -952.7862    43.471784   -909.31442    1557.0017     1786.164    2.2006846    4.7453067   0.13658619 
   15000   -951.00507    40.579357   -910.42571    1453.4054   -1149.2281    2.1872432    5.1534661   0.14688131 
   15100   -947.23241    44.204295   -903.02811    1583.2376    -6485.704    2.1686292    5.4135819   0.15874016 
   15200   -949.44936    41.635046   -907.81431    1491.2163     1528.407    2.1917544    6.0493319   0.16104889 
   15300   -952.24192     41.91037   -910.33155    1501.0775    3456.4257    2.2017198    5.7384438    0.1425176 
   15400   -949.36418    41.790344   -907.57384    1496.7786    -335.2263    2.1881089    5.3053324   0.14219351 
   15500   -947.62826     44.04273   -903.58553    1577.4509   -9262.4737    2.1556951    6.2190269   0.14303771 
   15600    -954.5717    40.980265   -913.59143    1467.7645    1495.2123     2.201552     6.620049   0.13031963 
   15700   -950.99997    41.324086   -909.67588    1480.0789    13255.871    2.2220592    6.9512267   0.14195137 
   15800   -948.38824    41.516363   -906.87188    1486.9656    1912.8301    2.1890941    5.8298366   0.13557976 
   15900    -951.6728    43.868066   -907.80473     1571.195   -13072.621    2.1545835     3.508917   0.12393063 
   16000   -953.68368    39.192652   -914.49103    1403.7386   -1057.5752     2.192464    5.0332874   0.13301034 
   16100   -948.77237    40.948742   -907.82363    1466.6354    12130.201    2.2138125    5.0451482   0.16435677 
   16200   -949.37735    41.740691   -907.63666    1495.0002    5100.3391    2.1978311     5.308445   0.14470604 
   16300     -953.579    38.277148   -915.30185    1370.9486   -8852.0178    2.1773906    5.3732748   0.13270434 
   16400   -950.67787    40.205845   -910.47202    1440.0276   -5764.5349    2.1719311    5.3632299   0.13357334 
   16500   -949.93533    43.011672   -906.92366    1540.5221    5419.8229    2.1998818    7.0172932   0.14015465 
   16600   -953.61281    41.891473   -911.72134    1500.4006    4517.9802    2.2053663     7.604329   0.14333233 
   16700   -953.85961    39.836648   -914.02297    1426.8043   -3420.3524    2.1861501    5.7197417   0.11993563 
   16800   -948.02059    42.574846   -905.44575    1524.8766   -8650.5091    2.1589849     5.508913   0.13250253 
   16900   -953.64955    44.293696   -909.35585    1586.4396    1384.0911    2.1930082    6.0890287   0.12298643 
   17000   -950.82464    39.832023   -910.99261    1426.6386    9993.4532    2.2123659    6.3461052   0.14585281 
   17100   -945.71934    43.569016   -902.15032    1560.4841    846.67293    2.1771236    5.8433873   0.15667416 
   17200   -947.33827    39.304952   -908.03332    1407.7608    -2744.153    2.1761349    4.9528261   0.14782354 
   17300   -951.05471    40.220955   -910.83375    1440.5687   -385.08288    2.1878148    4.4698132   0.12249847 
   17400   -948.07667    42.577663     -905.499    1524.9775     5736.737    2.1940336    6.5951248   0.13478941 
   17500   -949.58835    44.705307   -904.88304     1601.182    -728.9477    2.1837916    5.7841811   0.14045976 
   17600   -950.13708    38.573776    -911.5633    1381.5728   -1831.6925    2.1843382    5.7514375   0.13036382 
   17700   -948.74796    40.700008   -908.04795    1457.7267    702.58776    2.1854024    5.3828576   0.12446714 
   17800   -946.79447    42.701161   -904.09331    1529.4007    1836.5008     2.180277    4.4782808   0.12143778 
   17900   -953.85356    40.372325   -913.48123    1445.9903    3081.7948    2.2006482    4.9518463   0.12648399 
   18000   -949.33135    39.127725   -910.20363    1401.4132   -689.31203    2.1814775    4.8973476   0.13276286 
   18100   -945.63092    38.860416    -906.7705    1391.8392    729.96483    2.1750556    4.8077701   0.12735724 
   18200   -953.75717     39.86489   -913.89228    1427.8158    1838.3371    2.1979024    4.4087994   0.12378537 
   18300   -953.89298     41.34628    -912.5467    1480.8738   -423.21054    2.1959506    5.3908646   0.12790625 
   18400   -952.61032    45.193377   -907.41694    1618.6629   -1097.2418    2.1852356    5.6945598   0.13138151 
   18500   -952.35705    41.562531   -910.79451    1488.6191   -1864.9099    2.1848752    5.4636135   0.13675065 
   18600   -952.58037     37.39837     -915.182     1339.474    2924.3302    2.1982333    6.5946792   0.13725893 
   18700   -950.23376    43.186373   -907.04738    1546.7793    995.77852    2.1853543    5.7862154   0.14013485 
   18800   -948.29843      39.1936   -909.10483    1403.7726    3441.0429    2.1875689    5.5141971    0.1232664 
   18900   -951.42819     37.16379    -914.2644    1331.0722   -510.92646    2.1909754    5.7344646   0.14752671 
   19000    -948.5117    41.618388   -906.89331    1490.6197   -176.00718    2.1828948    5.3320867   0.14958834 
   19100   -946.85755    40.190691   -906.66686    1439.4848    8014.0725    2.1971302    7.5213127   0.14219321 
   19200   -953.21266    42.256023   -910.95663    1513.4575   -1789.1352    2.1883924    6.1895662   0.12983925 
   19300   -952.83309    43.376864   -909.45622     1553.602   -7092.2347     2.171774    5.4189639   0.11893049 
   19400   -945.89502    42.593197   -903.30182    1525.5338   -1511.2403    2.1721005    5.5746675   0.14918198 
   19500   -951.01097    41.547906   -909.46306    1488.0953    6931.8332    2.2036503    5.5645943    0.1234909 
   19600   -953.24933    43.002054   -910.24727    1540.1776    3461.3521    2.2016298    7.5143133   0.12901997 
   19700   -947.27037    44.935193   -902.33518    1609.4157   -7420.3239    2.1602634    6.1720601   0.14525616 
   19800   -953.70893    44.686424    -909.0225    1600.5057   -7910.9641    2.1713493    6.6600311   0.12521053 
   19900   -949.97081    39.498537   -910.47227    1414.6944     2560.003    2.1943322     5.568269   0.14011338 
   20000   -948.17982    41.652866   -906.52695    1491.8546    9742.6672    2.2027693    5.9122524   0.15620366 
   20100   -948.15288    45.716236   -902.43664    1637.3898   -2030.3006    2.1728414    4.6709474   0.13838164 
   20200   -951.72819    39.907522   -911.82067    1429.3427   -5374.2347    2.1775515    6.0832994   0.11975178 
   20300   -950.42257    40.368491   -910.05408    1445.8529     57.45013    2.1861289    5.6115126   0.12959128 
   20400   -950.64767    44.056204   -906.59147    1577.9335    7050.2961    2.2008724    5.6741555   0.13516905 
   20500    -950.4285    42.139946   -908.28856       1509.3     887.7408    2.1872947    6.0821103   0.13157607 
   20600   -953.25206     39.03454   -914.21752    1398.0757   -9295.4419    2.1697903    5.2713642    0.1294373 
   20700   -955.33231    45.175694   -910.15662    1618.0295   -3277.9102     2.183586    5.1395589   0.13085688 
   20800   -948.04875    42.195046    -905.8537    1511.2735    14422.296    2.2151921    5.7197253   0.15230669 
   20900   -952.62466    39.888457    -912.7362    1428.6599    4084.4411     2.199584     5.164264   0.13648215 
   21000   -952.05659    38.815278   -913.24131    1390.2225   -13197.207    2.1584116    4.2746259   0.13437214 
   21100   -950.04663    41.984262   -908.06236     1503.724   -6086.3301    2.1692533     6.088517    0.1246577 
   21200   -953.38991    44.775086   -908.61483    1603.6812    6509.7766    2.2070331    7.0393785   0.13490444 
   21300   -955.82449    40.373942   -915.45055    1446.0482    6241.5727    2.2131948    5.7625248    0.1277236 
   21400   -949.35085    42.173181   -907.17767    1510.4904   -5067.7305    2.1683679    5.6651052   0.13368212 
   21500   -949.84296    41.728166    -908.1148    1494.5516   -2116.9271    2.1766701    5.7636353    0.1417918 
   21600    -953.5717    41.947385   -911.62432    1502.4032    3864.8916    2.2004536    5.8223152   0.11990993 
   21700   -953.74689    41.018878   -912.72801    1469.1475    4550.5105    2.2035577    6.9238591   0.12613314 
   21800   -948.84868    44.065432   -904.78325     1578.264    -7124.019    2.1627217    5.0395709   0.14231638 
   21900   -954.58254    44.911901   -909.67064    1608.5814   -7824.2486    2.1739052    4.9943543   0.13655564 
   22000   -952.48061    41.880047   -910.60056    1499.9914    4692.7708    2.1993019    5.8597977   0.14206954 
   22100   -950.20443    48.316146   -901.88828    1730.5091    3478.9958    2.1896716     5.822838   0.12618385 
   22200   -951.33667    44.132408   -907.20426    1580.6628   -1020.4019    2.1814694    8.1187398   0.12259656 
   22300   -953.24758    42.032373   -911.21521    1505.4472   -6337.0389    2.1750425    6.5215346   0.13613804 
   22400   -949.47331    43.184061   -906.28925    1546.6965    -779.3654    2.1805471    6.1813415   0.12232801 
   22500   -946.48028    42.970581    -903.5097    1539.0504    4794.9706    2.1884425    6.3496012   0.12950772 
   22600   -952.06623    41.007729    -911.0585    1468.7481    2222.6553    2.1969855    6.2591187   0.12864695 
   22700   -950.17337    41.581915   -908.59146    1489.3134   -1218.9466    2.1825421    5.4537369   0.13614243 
   22800   -948.91997    44.892163   -904.02781    1607.8745   -5791.5777     2.167586    5.5650061   0.14492285 
   22900   -953.74063    40.336087   -913.40455    1444.6924    5469.2356    2.2052991    6.1991238   0.14126183 
   23000   -953.54319    43.232923   -910.31026    1548.4465    5599.8808    2.2047266    6.7496116   0.13026793 
   23100   -949.87813    42.234737   -907.64339    1512.6951   -5217.9422    2.1694583    6.3575643   0.12886289 
   23200   -949.14805    41.598489   -907.54956     1489.907   -10020.257    2.1567804    6.2141035   0.13421084 
   23300    -954.4702    39.351166   -915.11903     1409.416    7151.9605    2.2145852    6.1422505    0.1275729 
   23400   -950.73072    42.743836   -907.98689    1530.9292    11703.932    2.2162978    4.4859021   0.12921507 
   23500   -947.43391    39.051677   -908.38224    1398.6894   -1589.6376     2.176619     7.003399   0.12565113 
   23600   -953.80108    39.828581    -913.9725    1426.5153   -11559.528    2.1664227    4.8605995   0.12475555 
   23700   -951.82072    39.013453   -912.80727    1397.3204    1855.6152    2.1967052    5.6341732   0.12508768 
   23800   -948.20756    41.565851   -906.64171     1488.738    11570.232    2.2084282    5.0732054   0.13381765 
   23900   -954.73294    44.478362   -910.25458    1593.0536   -2712.5103    2.1875081    5.5919223   0.12827817 
   24000   -953.53065    38.385138   -915.14552    1374.8164   -8248.9483    2.1738927    6.1369271   0.12256488 
   24100   -949.93319    41.208265   -908.72493    1475.9306    770.73669    2.1879166    5.9094113   0.14148745 
   24200   -950.98159    43.888512   -907.09308    1571.9273    9963.1014    2.2099317    5.7073264   0.13913027 
   24300   -951.97439    41.959254   -910.01513    1502.8283    2400.1821    2.1924018    5.5381445   0.13085901 
   24400   -953.00904    42.678305   -910.33074    1528.5821   -7693.1499    2.1729959    6.9886337   0.13602965 
   24500   -949.36504    47.512477   -901.85257    1701.7246   -8601.8859    2.1624124    5.2820864   0.12550075 
   24600   -949.18423    40.844523    -908.3397    1462.9027    7539.0127    2.2012074    5.5878102   0.12597253 
   24700   -952.82599    42.625068   -910.20092    1526.6753     4829.912    2.2033981    5.1432935   0.12343496 
   24800   -947.10479    42.271317   -904.83348    1514.0053   -1807.5942    2.1760306    4.3877541   0.13720608 
   24900   -948.91589    44.079205   -904.83668    1578.7573   -5926.8078    2.1679934    5.3621477   0.13016016 
   25000    -952.6081    42.009741   -910.59836    1504.6366    221.53881    2.1913076    7.3298767   0.12565927 
   25100   -950.43348    42.487957   -907.94552    1521.7645    4737.3855    2.1987311    6.1384226   0.13470878 
   25200   -946.09024    44.009091   -902.08115     1576.246    1703.2933    2.1805259    4.9291725   0.14132675 
   25300    -953.2128    41.820666   -911.39213    1497.8646   -403.03078     2.191493    6.3080387   0.13467125 
   25400   -949.11599    38.916871   -910.19912    1393.8612   -1342.2643    2.1846965     4.446681    0.1441342 
   25500   -951.10196    44.397461    -906.7045    1590.1561   -311.01563    2.1842261    5.6150433   0.12959273 
   25600   -951.31926    43.387246   -907.93201    1553.9738   -492.03023    2.1871795    5.2647848   0.12356919 
   25700     -952.661    38.758862   -913.90213    1388.2019    3777.8443    2.2024196    6.0197544   0.12099395 
   25800   -948.27709     39.01025   -909.26684    1397.2057    3392.5252    2.1934411    6.4403627   0.13543901 
   25900   -947.87869     40.59769     -907.281     1454.062    1085.8586    2.1823287      4.96276   0.13190729 
   26000   -953.79855    38.524509   -915.27404    1379.8082   -2824.9099    2.1890159    6.3961659    0.1252383 
   26100   -951.84893    40.019219   -911.82971    1433.3433   -1362.9201    2.1869753    5.7480934   0.14524399 
   26200   -948.88021    41.531087   -907.34912    1487.4929    5351.7115    2.1993184    4.3262505   0.14971761 
   26300   -950.77758    39.799195   -910.97838    1425.4628    4292.0753    2.1987026    5.1571281   0.14123567 
   26400   -955.18555    38.686943   -916.49861     1385.626   -8543.3694     2.178164    4.7015844   0.14070381 
   26500   -946.82756    38.390477   -908.43708    1375.0077   -7576.8669    2.1597683    4.9500315   0.12832044 
   26600   -951.50945    43.333721   -908.17573    1552.0567    9599.9079     2.209607     5.022794   0.13151172 
   26700   -952.40638    39.829902   -912.57648    1426.5627    13946.607    2.2263072    5.7501322   0.12838712 
   26800   -951.15096    46.249707   -904.90126    1656.4968   -8239.2136    2.1653732    5.7862248   0.11791515 
   26900   -947.33805     40.96111   -906.37694    1467.0784   -7906.3988      2.15783     5.874741   0.13526769 
   27000   -952.85375    42.824147    -910.0296    1533.8056    2566.3745    2.1935566    4.3953788   0.13656817 
   27100   -952.80318     41.67126   -911.13192    1492.5134    8599.4535    2.2119518    5.6893484   0.13477216 
   27200   -947.61262    45.358756   -902.25387    1624.5862   -4214.3546    2.1676053    5.3383533   0.15222613 
